"","id","Response","key","percent_match","Scored","cue","cond","Finished","Progress","question","condition","dis","acc"
"1","E52","point","corner","0.333333333333333",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"2","E29","0","corner","0",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"3","E19","plane","corner","0.333333333333333",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"4","E40","corner","corner","1",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",1
"5","E35","space","corner","0.333333333333333",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"6","E8","view","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"7","E4","shape","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"8","E38","corner","corner","1",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",1
"9","E31","right","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"10","E15","curve","corner","0.5",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"11","E42","curve","corner","0.5",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"12","E59","curve","corner","0.5",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"13","E5","curve","corner","0.5",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"14","E27","0","corner","0",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"15","E6","0","corner","0",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"16","E45","shape","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"17","E14","corner","corner","1",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",1
"18","E25","edge","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"19","E53","shape","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"20","E16","deep","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"21","E33","curve","corner","0.5",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"22","E20","degree","corner","0.666666666666667",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"23","E12","sharp","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"24","E7","curve","corner","0.5",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"25","E54","straight","corner","0.125",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"26","E37","corner","corner","1",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",1
"27","E18","corner","corner","1",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",1
"28","E43","shape","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"29","E34","shape","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"30","E41","plane","corner","0.333333333333333",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"31","E17","cover","corner","0.666666666666667",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"32","E55","slope","corner","0.333333333333333",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"33","E56","corner","corner","1",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",1
"34","E22","corner","corner","1",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",1
"35","E51","edge","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"36","E26","corner","corner","1",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",1
"37","E36","shape","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"38","E3","degree","corner","0.666666666666667",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"39","E58","shape","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"40","E10","corner","corner","1",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",1
"41","E57","curve","corner","0.5",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"42","E11","curve","corner","0.5",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"43","E50","0","corner","0",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"44","E21","curve","corner","0.5",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"45","E30","corner","corner","1",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",1
"46","E28","right","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"47","E44","0","corner","0",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"48","E48","shape","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"49","E39","0","corner","0",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"50","E9","degree","corner","0.666666666666667",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"51","E47","side","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"52","E13","acute","corner","0.333333333333333",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"53","E46","corner","corner","1",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",1
"54","E32","right","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"55","E23","shape","corner","0.166666666666667",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"56","E49","0","corner","0",0,"angle","flu",TRUE,100,"Q434","Generate","fluent",0
"57","E2","corner","corner","1",1,"angle","flu",TRUE,100,"Q434","Generate","fluent",1
"58","E24","line","corner","0.333333333333333",0,"angle","flu",FALSE,99,"Q434","Generate","fluent",0
"59","E52","pair","street","0.166666666666667",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"60","E29","0","street","0",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"61","E19","shape","street","0.333333333333333",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"62","E40","square","street","0.5",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"63","E35","cube","street","0.166666666666667",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"64","E8","exit","street","0.333333333333333",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"65","E4","street","street","1",1,"block","flu",TRUE,100,"Q435","Generate","fluent",1
"66","E38","street","street","1",1,"block","flu",TRUE,100,"Q435","Generate","fluent",1
"67","E31","street","street","1",1,"block","flu",TRUE,100,"Q435","Generate","fluent",1
"68","E15","street","street","1",1,"block","flu",TRUE,100,"Q435","Generate","fluent",1
"69","E42","neighbor","street","0.125",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"70","E59","items","street","0.5",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"71","E5","cube","street","0.166666666666667",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"72","E27","street","street","1",1,"block","flu",TRUE,100,"Q435","Generate","fluent",1
"73","E6","0","street","0",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"74","E45","angle","street","0.166666666666667",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"75","E14","street","street","1",1,"block","flu",TRUE,100,"Q435","Generate","fluent",1
"76","E25","square","street","0.5",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"77","E53","0","street","0",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"78","E16","brick","street","0.166666666666667",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"79","E33","ice","street","0.166666666666667",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"80","E20","house","street","0.333333333333333",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"81","E12","wall","street","0",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"82","E7","0","street","0",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"83","E54","party","street","0.333333333333333",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"84","E37","street","street","1",1,"block","flu",TRUE,100,"Q435","Generate","fluent",1
"85","E18","street","street","1",1,"block","flu",TRUE,100,"Q435","Generate","fluent",1
"86","E43","neighborhood","street","0.0833333333333333",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"87","E34","building","street","0",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"88","E41","star","street","0.5",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"89","E17","chain","street","0",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"90","E55","wall","street","0",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"91","E56","0","street","0",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"92","E22","street","street","1",1,"block","flu",TRUE,100,"Q435","Generate","fluent",1
"93","E51","0","street","0",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
"94","E26","street","street","1",1,"block","flu",TRUE,100,"Q435","Generate","fluent",1
"95","E36","shape","street","0.333333333333333",0,"block","flu",TRUE,100,"Q435","Generate","fluent",0
