"","id","Passage","mean_acc"
"1","R_01xBIjc5ddf5oWd","Unmodified",0.357142857142857
"2","R_03wSumO4vsJ3T2h","Sans Forgetica",1
"3","R_07nlzQQalec72dH","Unmodified",0.818181818181818
"4","R_0cDAFoyUZ8xU5Il","Sans Forgetica",0.25
"5","R_0CYZUnbmWShcF1f","Sans Forgetica",0.0666666666666667
"6","R_0f9JmwhjokQnyOR","Pre-highlighted",0.266666666666667
"7","R_0JsqxTVtXov2UCJ","Unmodified",0.727272727272727
"8","R_0T9G9M78fmSfz3P","Pre-highlighted",0.272727272727273
"9","R_0uYH5I8JBiXG5qx","Sans Forgetica",0.285714285714286
"10","R_10Ocg6ZgfpYINpT","Sans Forgetica",0.818181818181818
"11","R_10rrGtJk7wMUnPS","Sans Forgetica",0.363636363636364
"12","R_11bEhdxDKuDg7Dq","Sans Forgetica",0.909090909090909
"13","R_11jvwhZ9aDbXzZi","Sans Forgetica",0.153846153846154
"14","R_11WVD1MhAN1xmAK","Pre-highlighted",1
"15","R_12R1ONE0Wl3GaVX","Pre-highlighted",0.636363636363636
"16","R_12sSaRQZ46uJjoo","Pre-highlighted",0.818181818181818
"17","R_1BP1WIAoaLq3kos","Unmodified",0.333333333333333
"18","R_1CCI46B4eL1WsXp","Sans Forgetica",0.818181818181818
"19","R_1CgcGKdhazJNX3o","Sans Forgetica",0.181818181818182
"20","R_1CHC0jnQZdA4f5d","Unmodified",0.454545454545455
"21","R_1CHIsB7eGd963KS","Pre-highlighted",0.636363636363636
"22","R_1CKMtwj1iKr6bR9","Unmodified",0.636363636363636
"23","R_1CpRBUT5DOcoZnw","Sans Forgetica",0.636363636363636
"24","R_1DAXMwE9eKdz1h4","Unmodified",0.363636363636364
"25","R_1dbEZIk4gYpi1j4","Sans Forgetica",0.153846153846154
"26","R_1dEluYygKoIxeSC","Pre-highlighted",1
"27","R_1DFKxeha9FJRt1b","Pre-highlighted",0.454545454545455
"28","R_1dfRmGUzKJMyICn","Sans Forgetica",0.545454545454545
"29","R_1DGMTkCZNuIsCX9","Unmodified",0.909090909090909
"30","R_1diRszsXAAai2MA","Sans Forgetica",0.727272727272727
"31","R_1dKdYH54DUtlUP0","Unmodified",0.0909090909090909
"32","R_1DNhLPzgUtLBsSv","Sans Forgetica",0
"33","R_1DO8x61lgTtsRlI","Unmodified",0.6
"34","R_1Dr8qKhjiQ2d02b","Pre-highlighted",0.818181818181818
"35","R_1dyTtbBRvdVFG2D","Unmodified",0.272727272727273
