"","id","condition","dis","mean_acc"
"1","E10","Generate","disfluent",0.583333333333333
"2","E10","Generate","fluent",0.416666666666667
"3","E11","Generate","disfluent",0.416666666666667
"4","E11","Generate","fluent",0.166666666666667
"5","E12","Generate","disfluent",0.416666666666667
"6","E12","Generate","fluent",0.166666666666667
"7","E13","Generate","disfluent",0.0833333333333333
"8","E13","Generate","fluent",0.0833333333333333
"9","E14","Generate","disfluent",0.833333333333333
"10","E14","Generate","fluent",0.583333333333333
"11","E15","Generate","disfluent",0.583333333333333
"12","E15","Generate","fluent",0.416666666666667
"13","E16","Generate","disfluent",0
"14","E16","Generate","fluent",0
"15","E17","Generate","disfluent",0.5
"16","E17","Generate","fluent",0
"17","E18","Generate","disfluent",0.666666666666667
"18","E18","Generate","fluent",0.666666666666667
"19","E19","Generate","disfluent",0.25
"20","E19","Generate","fluent",0.0833333333333333
"21","E2","Generate","disfluent",0.583333333333333
"22","E2","Generate","fluent",0.416666666666667
"23","E20","Generate","disfluent",0.416666666666667
"24","E20","Generate","fluent",0.166666666666667
"25","E21","Generate","disfluent",0.333333333333333
"26","E21","Generate","fluent",0.25
"27","E22","Generate","disfluent",0.416666666666667
"28","E22","Generate","fluent",0.416666666666667
"29","E23","Generate","disfluent",0.166666666666667
"30","E23","Generate","fluent",0.0833333333333333
"31","E24","Generate","disfluent",0.416666666666667
"32","E24","Generate","fluent",0.25
"33","E25","Generate","disfluent",0.666666666666667
"34","E25","Generate","fluent",0.0833333333333333
"35","E26","Generate","disfluent",0.75
"36","E26","Generate","fluent",0.666666666666667
"37","E27","Generate","disfluent",0.583333333333333
"38","E27","Generate","fluent",0.166666666666667
"39","E28","Generate","disfluent",0.333333333333333
"40","E28","Generate","fluent",0.166666666666667
"41","E29","Generate","disfluent",0.583333333333333
"42","E29","Generate","fluent",0.5
"43","E3","Generate","disfluent",0
"44","E3","Generate","fluent",0
"45","E30","Generate","disfluent",0.5
"46","E30","Generate","fluent",0.25
"47","E31","Generate","disfluent",0.333333333333333
"48","E31","Generate","fluent",0.0833333333333333
"49","E32","Generate","disfluent",0.75
"50","E32","Generate","fluent",0.416666666666667
"51","E33","Generate","disfluent",0.0833333333333333
"52","E33","Generate","fluent",0
"53","E34","Generate","disfluent",0.666666666666667
"54","E34","Generate","fluent",0.166666666666667
"55","E35","Generate","disfluent",0.166666666666667
"56","E35","Generate","fluent",0.166666666666667
"57","E36","Generate","disfluent",0.166666666666667
"58","E36","Generate","fluent",0
"59","E37","Generate","disfluent",0.5
"60","E37","Generate","fluent",0.666666666666667
"61","E38","Generate","disfluent",0.75
"62","E38","Generate","fluent",0.5
"63","E39","Generate","disfluent",0.5
"64","E39","Generate","fluent",0.333333333333333
"65","E4","Generate","disfluent",0.75
"66","E4","Generate","fluent",0.166666666666667
"67","E40","Generate","disfluent",0.583333333333333
"68","E40","Generate","fluent",0.416666666666667
"69","E41","Generate","disfluent",0.25
"70","E41","Generate","fluent",0
"71","E42","Generate","disfluent",0.166666666666667
"72","E42","Generate","fluent",0.0833333333333333
"73","E43","Generate","disfluent",0.416666666666667
"74","E43","Generate","fluent",0.166666666666667
"75","E44","Generate","disfluent",0.583333333333333
