"","X1","ResponseId","Finished","Progress","FL_149_DO","question","response","acc"
"1",1064,"R_1LSfIFI7U1VaLnj",TRUE,100,"Highlight","Q434","?",0
"2",567,"R_1mecK6Gu10UXW3V",TRUE,100,"Normal","Q434","??",0
"3",878,"R_V3BfkJzOfGwbA2J",TRUE,100,"Passage","Q434","agua",0
"4",729,"R_1r3vM5vAo0gYLSt",TRUE,100,"Normal","Q434","aprocrite",0
"5",1007,"R_1rubkFuV4ZIYqJ4",TRUE,100,"Normal","Q434","aquaduct",0
"6",1068,"R_3iyZkKCKYZBdtu9",TRUE,100,"Normal","Q434","aquaduct",0
"7",856,"R_1l4UY6s2cgki7NK",TRUE,100,"Passage","Q434","aquaducts",0
"8",752,"R_3L4zC2hQ3L3S4ZH",TRUE,100,"Highlight","Q434","bedrock",0
"9",835,"R_1CpRBUT5DOcoZnw",TRUE,100,"Passage","Q434","bedrock",0
"10",959,"R_3n1oHjIlEujujNp",TRUE,100,"Passage","Q434","bedrock",0
"11",1124,"R_3JIaTRyDOuvfnVf",TRUE,100,"Passage","Q434","bread",0
"12",1011,"R_2fqX4YQUV3KRUe5",TRUE,100,"Passage","Q434","clay",0
"13",911,"R_2ElRv8lWPp8ZwBh",TRUE,100,"Highlight","Q434","Dont know",0
"14",1080,"R_1mJFNQduzE3p3eD",TRUE,100,"Highlight","Q434","dont remember",0
"15",637,"R_UXU548n56wzFbGx",TRUE,100,"Normal","Q434","easy",0
"16",664,"R_1hFEOk9ZcNHSFch",TRUE,100,"Highlight","Q434","Erosion",0
"17",822,"R_3n79ZmXx3omsjbG",TRUE,100,"Passage","Q434","Filaments",0
"18",686,"R_2dgY6iJ4nP17zta",TRUE,100,"Normal","Q434","fossil",0
"19",1117,"R_3JKwkM2K4tt3R84",TRUE,100,"Passage","Q434","fossil fuels",0
"20",908,"R_3PFvGNmuimyXpqM",TRUE,100,"Normal","Q434","fractures",0
"21",1023,"R_26c2KFqCcaZZAXb",TRUE,100,"Normal","Q434","good",0
"22",592,"R_2roJn4CF0u4s1vK",TRUE,100,"Normal","Q434","gravel",0
"23",886,"R_1g79cyX9IsucinY",TRUE,100,"Normal","Q434","gravel",0
"24",924,"R_W21US4FUsuZLgY1",TRUE,100,"Passage","Q434","gravel",0
"25",1075,"R_2BbxgnkzpYNmwyx",TRUE,100,"Highlight","Q434","gravel",0
"26",754,"R_1j7VURvpkEPdYvO",TRUE,100,"Passage","Q434","ground",0
"27",946,"R_1gSVEZ4c3vxbhoQ",TRUE,100,"Passage","Q434","ground",0
"28",1070,"R_2DYW9KGAbnKfawj",TRUE,100,"Highlight","Q434","ground",0
"29",666,"R_1ginRNwckOH57cJ",TRUE,100,"Highlight","Q434","ground table",0
"30",685,"R_e4CKyVByiMCPgIN",TRUE,100,"Passage","Q434","ground water",0
"31",797,"R_1eEInFq6vlvG9t7",TRUE,100,"Highlight","Q434","ground water",0
"32",1054,"R_2COKhbzCiUVPut3",TRUE,100,"Highlight","Q434","ground water",0
"33",1079,"R_1DO8x61lgTtsRlI",TRUE,100,"Normal","Q434","ground water",0
"34",1105,"R_2ScLVlPN14CttTE",TRUE,100,"Passage","Q434","ground water",0
"35",656,"R_1JD5lRg4xo4jx8l",TRUE,100,"Passage","Q434","groundwater",0
"36",1127,"R_74EE5c5w4Vcwx57",TRUE,100,"Passage","Q434","groundwater",0
"37",951,"R_20Uyi3xT0FwbCZD",TRUE,100,"Passage","Q434","I don't remember",0
"38",704,"R_3JmAolr4b0m5Vo7",TRUE,100,"Normal","Q434","i dont know",0
"39",675,"R_0f9JmwhjokQnyOR",TRUE,100,"Highlight","Q434","i dont konw",0
"40",887,"R_2SAM4FuAvefw9cd",TRUE,100,"Highlight","Q434","idk",0
"41",889,"R_1KxnAwsaaVCyqtS",TRUE,100,"Passage","Q434","idk",0
"42",904,"R_3j86z7Yetcwgi7h",TRUE,100,"Normal","Q434","idk",0
"43",879,"R_2urIj9MfrpOuXKl",TRUE,100,"Normal","Q434","Impermeable",0
"44",1038,"R_YS4ZV7Vuhi2sp7b",TRUE,100,"Passage","Q434","j",0
"45",633,"R_33EjDTDBUeKfPTX",TRUE,100,"Passage","Q434","limestone",0
"46",842,"R_1BP1WIAoaLq3kos",TRUE,100,"Normal","Q434","limestone",0
"47",896,"R_26gWgRsHaP60jZN",TRUE,100,"Normal","Q434","limestone",0
"48",915,"R_25AtJsS9F9gf9Il",TRUE,100,"Normal","Q434","limestone",0
"49",975,"R_3FOKTsTiDHSA7v5",TRUE,100,"Normal","Q434","Limestone",0
"50",643,"R_2OPAXIvBv2tKmxC",TRUE,100,"Highlight","Q434","line",0
"51",683,"R_2QF0rTKeJJTwqKL",TRUE,100,"Normal","Q434","loose",0
"52",999,"R_1r9qBy0JzWQISyC",TRUE,100,"Normal","Q434","loose",0
"53",1006,"R_2R4fU4KLkHkKhvq",TRUE,100,"Passage","Q434","Membrane",0
"54",881,"R_32Mkhzh8CEvhBgW",TRUE,100,"Normal","Q434","metasphere",0
"55",1018,"R_3GpSbN41h3hveIt",TRUE,100,"Normal","Q434","movable",0
"56",658,"R_2y3pau4Tp3sxeOd",TRUE,100,"Highlight","Q434","N/A",0
"57",1083,"R_3r09nufdARaOpLX",TRUE,100,"Passage","Q434","n/a",0
"58",572,"R_3DpZ0GgrsxZMvgi",TRUE,100,"Normal","Q434",NA,0
"59",577,"R_2mJfzTZuUmS9xzb",TRUE,100,"Highlight","Q434",NA,0
