"","ResponseId","Finished","Progress","FL_149_DO","question","response"
"1","R_1mecK6Gu10UXW3V",TRUE,100,"Normal","Q192",NA
"2","R_3pamGouhRq23Zsc",TRUE,100,"Normal","Q192",NA
"3","R_3NErnuIa0E5UbXg",TRUE,100,"Passage","Q192",NA
"4","R_2YSdTL637RX3MDf",TRUE,100,"Highlight","Q192",NA
"5","R_1F8wtbHI0O6D8ok",TRUE,100,"Passage","Q192",NA
"6","R_3DpZ0GgrsxZMvgi",TRUE,100,"Normal","Q192",NA
"7","R_233RzrQC8sg6yve",TRUE,100,"Normal","Q192",NA
"8","R_doEkERgZ6cCH5Ad",TRUE,100,"Highlight","Q192",NA
"9","R_xFvPUwyjNzZ3ggF",TRUE,100,"Passage","Q192",NA
"10","R_1lc6oH7yzAqbhJ9",TRUE,100,"Passage","Q192",NA
"11","R_2mJfzTZuUmS9xzb",TRUE,100,"Highlight","Q192",NA
"12","R_xn57HY4dsCMxgid",TRUE,100,"Passage","Q192",NA
"13","R_3GiBeaOotyeov3r",TRUE,100,"Highlight","Q192",NA
"14","R_1dn4mqRNe9trI5K",TRUE,100,"Passage","Q192",NA
"15","R_11WJEtMf22Y8haC",TRUE,100,"Highlight","Q192",NA
"16","R_2R9OLmjETrQ6XmQ",TRUE,100,"Normal","Q192",NA
"17","R_3QQ2ua6uCSnlVl7",TRUE,100,"Normal","Q192",NA
"18","R_TnjRLjQ0vgL3kmB",TRUE,100,"Passage","Q192",NA
"19","R_3en4ixgNbCfQrte",TRUE,100,"Highlight","Q192",NA
"20","R_CmJa4iIJgRRgy4N",TRUE,100,"Highlight","Q192",NA
"21","R_2OJb0LolQH0PS8x",TRUE,100,"Normal","Q192","Ground water"
"22","R_YRBNgAMdzqmBCPT",TRUE,100,"Passage","Q192","Ground water"
"23","R_41kMqSBlU9XieaZ",TRUE,100,"Normal","Q192","Ground water"
"24","R_1Fu1zlZqrDUL7zZ",TRUE,100,"Passage","Q192","Ground water"
"25","R_3gN796VA5KwTzNd",TRUE,100,"Highlight","Q192","Ground water"
"26","R_2roJn4CF0u4s1vK",TRUE,100,"Normal","Q192","Ground water"
"27","R_9tBeIH2PJzu5TTr",TRUE,100,"Highlight","Q192","Ground water"
"28","R_2akKqeZUSipYSdn",TRUE,100,"Passage","Q192","Ground water"
"29","R_3mjWhxTbnhTtQCv",TRUE,100,"Highlight","Q192","Ground water"
"30","R_2CsqZ9Wlgc5JpHu",TRUE,100,"Highlight","Q192","Ground water"
"31","R_3rVEh3RtNwg7U0G",TRUE,100,"Passage","Q192","Ground water"
"32","R_2uCb6symjEueHr2",TRUE,100,"Highlight","Q192","Ground water"
"33","R_DeDT0ZgscWP1QYx",TRUE,100,"Passage","Q192","Ground water"
"34","R_xA7Mb8N2SKxYs49",TRUE,100,"Normal","Q192","Ground water"
"35","R_1LpWeKjg7sikctE",TRUE,100,"Highlight","Q192","Ground water"
"36","R_AsO3By8nhDBVuuZ",TRUE,100,"Passage","Q192","Ground water"
"37","R_2P5SXuSsFL6EyEZ",TRUE,100,"Normal","Q192","Ground water"
"38","R_QazEg8YJXgs3bKF",TRUE,100,"Normal","Q192","Ground water"
"39","R_3hrTFNEw2kLhk1f",TRUE,100,"Passage","Q192","Ground water"
"40","R_2dGF17dtOPnSvsn",TRUE,100,"Highlight","Q192","Ground water"
"41","R_CdmT2VJ8L3Zjpe1",TRUE,100,"Passage","Q192","Ground water"
"42","R_1lgAGK4E7jw50dQ",TRUE,100,"Highlight","Q192","Ground water"
"43","R_ZgT9FoBvnPGqlm9",TRUE,100,"Highlight","Q192","Ground water"
"44","R_DqnUrBZS6bqLpzX",TRUE,100,"Normal","Q192","Ground water"
"45","R_2b3N9HpOdXzQ6Qv",TRUE,100,"Passage","Q192","Ground water"
"46","R_2673yFCZWP3JTO1",TRUE,100,"Highlight","Q192","Ground water"
"47","R_3qapEeo3uSpIA2u",TRUE,100,"Normal","Q192","Ground water"
"48","R_2bZ45SMI4WK9Ee5",TRUE,100,"Passage","Q192","Ground water"
"49","R_1CKMtwj1iKr6bR9",TRUE,100,"Normal","Q192","Ground water"
"50","R_vdxNIxt8egXKBRT",TRUE,100,"Highlight","Q192","Ground water"
"51","R_d5z0BlqKSlhDu93",TRUE,100,"Passage","Q192","Ground water"
"52","R_3pbd7EisxVu0Dul",TRUE,100,"Passage","Q192","Ground water"
"53","R_2rwoMeBXKyBV1s2",TRUE,100,"Highlight","Q192","Ground water"
"54","R_3lMSAfdPPu8obJm",TRUE,100,"Normal","Q192","Ground water"
"55","R_21bPuKcPablxGs0",TRUE,100,"Passage","Q192","Ground water"
"56","R_1CHC0jnQZdA4f5d",TRUE,100,"Normal","Q192","Ground water"
"57","R_1RABJB0TXYQh9br",TRUE,100,"Highlight","Q192","Ground water"
"58","R_3n0dsZcWAY3NYHN",TRUE,100,"Passage","Q192","Ground water"
"59","R_31XWOeCdB7paziT",TRUE,100,"Normal","Q192","Ground water"
"60","R_1H74umFtuE4SxFb",TRUE,100,"Passage","Q192","Ground water"
"61","R_1DAXMwE9eKdz1h4",TRUE,100,"Normal","Q192","Ground water"
"62","R_OIq93cMlJAGaJ4B",TRUE,100,"Highlight","Q192","Ground water"
"63","R_21iZ5WhX4G4e4XE",TRUE,100,"Highlight","Q192","Ground water"
"64","R_Reom65nGgbP4W3f",TRUE,100,"Normal","Q192","Ground water"
"65","R_2qlO1qKcOZrhKXs",TRUE,100,"Highlight","Q192","Ground water"
"66","R_3fDd6V86GO61pjk",TRUE,100,"Normal","Q192","Ground water"
"67","R_33EjDTDBUeKfPTX",TRUE,100,"Passage","Q192","Ground water"
"68","R_3eaYXwJcd97nmEB",TRUE,100,"Highlight","Q192","Ground water"
"69","R_28SvgojaYsPqKcP",TRUE,100,"Normal","Q192","Ground water"
"70","R_u3Mzx9DoKnHKdSV",TRUE,100,"Passage","Q192","Ground water"
"71","R_UXU548n56wzFbGx",TRUE,100,"Normal","Q192","Ground water"
"72","R_1IQovaQ1aUSK6ys",TRUE,100,"Passage","Q192","Ground water"
"73","R_2t5RBNQ4BcRJstp",TRUE,100,"Highlight","Q192","Ground water"
"74","R_1IFPjQHG46Npu3h",TRUE,100,"Passage","Q192","Ground water"
"75","R_QnxTZ2TFX7FSJH3",TRUE,100,"Highlight","Q192","Ground water"
"76","R_2vcu60gKo4KxxhQ",TRUE,100,"Normal","Q192","Ground water"
"77","R_2OPAXIvBv2tKmxC",TRUE,100,"Highlight","Q192","Ground water"
"78","R_3lQ4jHAE14gjyeH",TRUE,100,"Passage","Q192","Ground water"
"79","R_eQJOWSkyTM3bLNL",TRUE,100,"Highlight","Q192","Ground water"
"80","R_3h3L1vm9oZecLgq",TRUE,100,"Normal","Q192","Ground water"
"81","R_1diRszsXAAai2MA",TRUE,100,"Passage","Q192","Ground water"
"82","R_1JKoZGleqT0wUbK",TRUE,100,"Normal","Q192","Ground water"
"83","R_XTdFXYg7v3FXr9L",TRUE,100,"Passage","Q192","Ground water"
"84","R_3ELkQzmUAFKt2gI",TRUE,100,"Highlight","Q192","Ground water"
"85","R_85Josxq3CUyQ3IJ",TRUE,100,"Passage","Q192","Ground water"
"86","R_31L4BSIk5iBgAAv",TRUE,100,"Highlight","Q192","Ground water"
"87","R_2uE9Ep4FGdQL1w9",TRUE,100,"Normal","Q192","Ground water"
"88","R_eX5zGEUl5ObE31D",TRUE,100,"Normal","Q192","Ground water"
"89","R_1OO9rxbDVQRLIc3",TRUE,100,"Highlight","Q192","Ground water"
"90","R_1JD5lRg4xo4jx8l",TRUE,100,"Passage","Q192","Ground water"
"91","R_1InMZbP3temrZnF",TRUE,100,"Normal","Q192","Ground water"
"92","R_2y3pau4Tp3sxeOd",TRUE,100,"Highlight","Q192","Ground water"
"93","R_QmnXTjfry8ikU49",TRUE,100,"Normal","Q192","Ground water"
"94","R_3PmB7SIWoUjG69h",TRUE,100,"Passage","Q192","Ground water"
"95","R_2uUMf0kvNagfJG4",TRUE,100,"Highlight","Q192","Ground water"
"96","R_XgJahBXCw13GE8h",TRUE,100,"Passage","Q192","Ground water"
