"","ResponseId","Finished","Progress","FL_149_DO","question","response"
"97","R_24pENftpTZqFdHJ",TRUE,100,"Normal","Q192","Ground water"
"98","R_1hFEOk9ZcNHSFch",TRUE,100,"Highlight","Q192","Ground water"
"99","R_1GEAknNmqaRIROM",TRUE,100,"Passage","Q192","Ground water"
"100","R_1ginRNwckOH57cJ",TRUE,100,"Highlight","Q192","Ground water"
"101","R_UhaWGzuuBXEfMYN",TRUE,100,"Passage","Q192","Ground water"
"102","R_31uybj6g2z4mFkr",TRUE,100,"Normal","Q192","Ground water"
"103","R_1Ho9pX8LXEm82dZ",TRUE,100,"Highlight","Q192","Ground water"
"104","R_AsNLRSrIugSIarL",TRUE,100,"Highlight","Q192","Ground water"
"105","R_3KTrhUkZ8eUXECI",TRUE,100,"Normal","Q192","Ground water"
"106","R_2TBJOXgGm6DpCj8",TRUE,100,"Passage","Q192","Ground water"
"107","R_TqqpE9AdjvGvZGV",TRUE,100,"Passage","Q192","Ground water"
"108","R_YXD3wVBaeeMGniV",TRUE,100,"Normal","Q192","Ground water"
"109","R_0f9JmwhjokQnyOR",TRUE,100,"Highlight","Q192","Ground water"
"110","R_3GuAWlVheOsBbsB",TRUE,100,"Normal","Q192","Ground water"
"111","R_3D2sVmLiwkmeYof",TRUE,100,"Passage","Q192","Ground water"
"112","R_ToQr4ENBEsDQ9ih",TRUE,100,"Highlight","Q192","Ground water"
"113","R_2Pv3IkJxlWGt7kj",TRUE,100,"Highlight","Q192","Ground water"
"114","R_1CCI46B4eL1WsXp",TRUE,100,"Passage","Q192","Ground water"
"115","R_2pSIwq2mqqkwcxt",TRUE,100,"Highlight","Q192","Ground water"
"116","R_vBJQnHHYaPWOE6t",TRUE,100,"Normal","Q192","Ground water"
"117","R_2QF0rTKeJJTwqKL",TRUE,100,"Normal","Q192","Ground water"
"118","R_zezvmYgXW2OujcZ",TRUE,100,"Passage","Q192","Ground water"
"119","R_e4CKyVByiMCPgIN",TRUE,100,"Passage","Q192","Ground water"
"120","R_2dgY6iJ4nP17zta",TRUE,100,"Normal","Q192","Ground water"
"121","R_UrmJwU5oa57Lygx",TRUE,100,"Highlight","Q192","Ground water"
"122","R_3nf793iLeprrb9k",TRUE,100,"Normal","Q192","Ground water"
"123","R_2bTsML5wGBi2sj3",TRUE,100,"Passage","Q192","Ground water"
"124","R_1IGE56Stu4lujeP",TRUE,100,"Normal","Q192","Ground water"
"125","R_egiKvIrcLjXNISl",TRUE,100,"Highlight","Q192","Ground water"
"126","R_OdSaGcSBQNuud3z",TRUE,100,"Passage","Q192","Ground water"
"127","R_3KJ7t45BHNPbGQM",TRUE,100,"Normal","Q192","Ground water"
"128","R_2wLgZ0TW9Ai4X12",TRUE,100,"Passage","Q192","Ground water"
"129","R_1IsgJW8oeWr2zrw",TRUE,100,"Normal","Q192","Ground water"
"130","R_2QRoOWWKYOnz1vl",TRUE,100,"Highlight","Q192","Ground water"
"131","R_yEcP0W4YxMurCiB",TRUE,100,"Normal","Q192","Ground water"
"132","R_pRbasyrv8BfWmkN",TRUE,100,"Passage","Q192","Ground water"
"133","R_1EWLawqvCl9mWqC",TRUE,100,"Normal","Q192","Ground water"
"134","R_1Q4aXpnh3OjCoHH",TRUE,100,"Highlight","Q192","Ground water"
"135","R_3pbEEnhuruQxgMv",TRUE,100,"Passage","Q192","Ground water"
"136","R_2aDYyfOJm36NxZG",TRUE,100,"Passage","Q192","Ground water"
"137","R_2Pna07D0j5sZl6s",TRUE,100,"Highlight","Q192","Ground water"
"138","R_3JmAolr4b0m5Vo7",TRUE,100,"Normal","Q192","Ground water"
"139","R_1dEluYygKoIxeSC",TRUE,100,"Highlight","Q192","Ground water"
"140","R_1qX6CQzdn12hyS4",TRUE,100,"Passage","Q192","Ground water"
"141","R_xgOCVuP0CYKLUBz",TRUE,100,"Normal","Q192","Ground water"
"142","R_CfS8ubKfSiuJ4Wd",TRUE,100,"Highlight","Q192","Ground water"
"143","R_ZrsKRJKVsi11cop",TRUE,100,"Normal","Q192","Ground water"
"144","R_sUpng1kHbGEAfjH",TRUE,100,"Highlight","Q192","Ground water"
"145","R_cBC29h6Gn6UJHYl",TRUE,100,"Passage","Q192","Ground water"
"146","R_3po0cT865xNF73K",TRUE,100,"Normal","Q192","Ground water"
"147","R_3DDyWenbWrWLiKJ",TRUE,100,"Normal","Q192","Ground water"
"148","R_2dRBNhV7SZrvtBg",TRUE,100,"Highlight","Q192","Ground water"
"149","R_WlpD2eRTsGtCUaR",TRUE,100,"Passage","Q192","Ground water"
"150","R_2bV69F3cEPZjGGE",TRUE,100,"Highlight","Q192","Ground water"
"151","R_2uKiGPSfdm08sD8",TRUE,100,"Passage","Q192","Ground water"
"152","R_2uyuUXhwTSm6Qw3",TRUE,100,"Passage","Q192","Ground water"
"153","R_2QWBCyF8hzyEwwC",TRUE,100,"Highlight","Q192","Ground water"
"154","R_3GqSJGN3pHl66Hk",TRUE,100,"Passage","Q192","Ground water"
"155","R_3OoCrNaJSbxykEH",TRUE,100,"Highlight","Q192","Ground water"
"156","R_3MfjriSwWESG9j2",TRUE,100,"Normal","Q192","Ground water"
"157","R_33EB7F6yazYgxof",TRUE,100,"Highlight","Q192","Ground water"
"158","R_vcVHIXYRM82ropH",TRUE,100,"Passage","Q192","Ground water"
"159","R_UDwVuvMiZ31tvEJ",TRUE,100,"Passage","Q192","Ground water"
"160","R_3sb8nUEiAP5wEWn",TRUE,100,"Highlight","Q192","Ground water"
"161","R_1DGMTkCZNuIsCX9",TRUE,100,"Normal","Q192","Ground water"
"162","R_3gT4zATfISIWH38",TRUE,100,"Highlight","Q192","Ground water"
"163","R_1r3vM5vAo0gYLSt",TRUE,100,"Normal","Q192","Ground water"
"164","R_1EXpqyU0fzn9bha",TRUE,100,"Passage","Q192","Ground water"
"165","R_BxrFDv0SyZM8M8h",TRUE,100,"Passage","Q192","Ground water"
"166","R_3oRQMbG7zzVvRYV",TRUE,100,"Normal","Q192","Ground water"
"167","R_2Pd0UHgwFjq8O0u",TRUE,100,"Highlight","Q192","Ground water"
"168","R_2ZByr3zw9nsxXIf",TRUE,100,"Passage","Q192","Ground water"
"169","R_2woAr9fF10l2bs1",TRUE,100,"Normal","Q192","Ground water"
"170","R_ac69rGfc2wewOC5",TRUE,100,"Highlight","Q192","Ground water"
"171","R_a8K7lF3jlKOkWRz",TRUE,100,"Passage","Q192","Ground water"
"172","R_2bK9aVYGmvd0dQk",TRUE,100,"Normal","Q192","Ground water"
"173","R_2WzZ0jj5VgaMgM3",TRUE,100,"Normal","Q192","Ground water"
"174","R_AtzPlKvbaR32ta1",TRUE,100,"Passage","Q192","Ground water"
"175","R_2chnS2z6oc7mQJf",TRUE,100,"Highlight","Q192","Ground water"
"176","R_2E5y1l5Bo2gRXiJ",TRUE,100,"Highlight","Q192","Ground water"
"177","R_XI1CQHe54LzugSJ",TRUE,100,"Highlight","Q192","Ground water"
"178","R_3RdW4gV3d4z4J2q",TRUE,100,"Normal","Q192","Ground water"
"179","R_2BxiFauwpctBDEM",TRUE,100,"Passage","Q192","Ground water"
"180","R_1jHcMWxAl0OGOTK",TRUE,100,"Passage","Q192","Ground water"
"181","R_vc6o5CfJDlzlyI9",TRUE,100,"Normal","Q192","Ground water"
"182","R_2Ph4LN25XWvNOkL",TRUE,100,"Passage","Q192","Ground water"
"183","R_2bVrZR8XSbbYScM",TRUE,100,"Normal","Q192","Ground water"
"184","R_2pKNguCsDwZZ4Tc",TRUE,100,"Highlight","Q192","Ground water"
"185","R_25F8XDs8qoJqTTd",TRUE,100,"Passage","Q192","Ground water"
"186","R_3L4zC2hQ3L3S4ZH",TRUE,100,"Highlight","Q192","Ground water"
"187","R_25MEkH0e08A7wSe",TRUE,100,"Normal","Q192","Ground water"
"188","R_1j7VURvpkEPdYvO",TRUE,100,"Passage","Q192","Ground water"
"189","R_07nlzQQalec72dH",TRUE,100,"Normal","Q192","Ground water"
"190","R_3Mi2vpEjZcsDRwl",TRUE,100,"Highlight","Q192","Ground water"
"191","R_2VpCDeALlM7KvHl",TRUE,100,"Highlight","Q192","Ground water"
"192","R_3EYxksglbUEP1RI",TRUE,100,"Passage","Q192","Ground water"
"193","R_DCz9gIO7TvimUUx",TRUE,100,"Normal","Q192","Ground water"
"194","R_3ELsbo6gRQx3rq1",TRUE,100,"Normal","Q192","Ground water"
"195","R_D8IDJ5iR94VhWSt",TRUE,100,"Passage","Q192","Ground water"
"196","R_2D6zyKhoYS1aova",TRUE,100,"Highlight","Q192","Ground water"
"197","R_3NQJbRw3vK8c3Ik",TRUE,100,"Normal","Q192","Ground water"
"198","R_yJ95VEeGuChlzzP",TRUE,100,"Highlight","Q192","Ground water"
"199","R_3MDTg1UZ8spQRCS",TRUE,100,"Passage","Q192","Ground water"
"200","R_1mEkF3wJavgplAt",TRUE,100,"Highlight","Q192","Ground water"
"201","R_1fk3n9y6BWQB0sJ",TRUE,100,"Normal","Q192","Ground water"
"202","R_2RODQFHktdd2cTr",TRUE,100,"Passage","Q192","Ground water"
"203","R_UEZgbbqf0pOexAl",TRUE,100,"Highlight","Q192","Ground water"
"204","R_Tejq5zkmWmmaNjP",TRUE,100,"Highlight","Q192","Ground water"
"205","R_OB9rBNFE7LLEI4F",TRUE,100,"Normal","Q192","Ground water"
"206","R_2SHLeqFjCikywOq",TRUE,100,"Passage","Q192","Ground water"
"207","R_3lMjWHDjoldU8Mn",TRUE,100,"Highlight","Q192","Ground water"
"208","R_1gejSCG9U3t3Kl0",TRUE,100,"Normal","Q192","Ground water"
"209","R_VKcqe4sddCbDjzz",TRUE,100,"Passage","Q192","Ground water"
"210","R_3edWI1B29ZvTyz6",TRUE,100,"Highlight","Q192","Ground water"
"211","R_6tj907urFJX2wBH",TRUE,100,"Highlight","Q192","Ground water"
"212","R_3lWfXlMLnwfhovJ",TRUE,100,"Normal","Q192","Ground water"
"213","R_2tnxOiq6ndG1lNf",TRUE,100,"Normal","Q192","Ground water"
"214","R_2AWhPQg345FE3qe",TRUE,100,"Passage","Q192","Ground water"
"215","R_3EKozJioeyPWKZt",TRUE,100,"Highlight","Q192","Ground water"
"216","R_2ElZ0UfTvYRjMUw",TRUE,100,"Passage","Q192","Ground water"
"217","R_7OMHhUjqyHhxL21",TRUE,100,"Normal","Q192","Ground water"
"218","R_3KJY8jS0FCCAzgM",TRUE,100,"Highlight","Q192","Ground water"
"219","R_2D1WzxaIWR7oB26",TRUE,100,"Passage","Q192","Ground water"
"220","R_2OTGrYmR60QQWlO",TRUE,100,"Highlight","Q192","Ground water"
"221","R_1mQlG3TnjNCktl2",TRUE,100,"Normal","Q192","Ground water"
"222","R_3KC3H3VELJPS5G8",TRUE,100,"Highlight","Q192","Ground water"
"223","R_1dKdYH54DUtlUP0",TRUE,100,"Normal","Q192","Ground water"
"224","R_268tHQ9NCQMiNcQ",TRUE,100,"Passage","Q192","Ground water"
"225","R_NVyhz14W7BDvKJH",TRUE,100,"Highlight","Q192","Ground water"
"226","R_1gbAmdKjg6darTR",TRUE,100,"Passage","Q192","Ground water"
"227","R_3EiowEcjzs24HDQ",TRUE,100,"Normal","Q192","Ground water"
"228","R_2xW6IbOvdM39TYm",TRUE,100,"Normal","Q192","Ground water"
"229","R_8D4auXgEF7mWJEd",TRUE,100,"Passage","Q192","Ground water"
"230","R_2thUg531IE5CJZN",TRUE,100,"Highlight","Q192","Ground water"
"231","R_1eEInFq6vlvG9t7",TRUE,100,"Highlight","Q192","Ground water"
"232","R_wTM8dqidzfqfaMh",TRUE,100,"Normal","Q192","Ground water"
"233","R_2VC51BinpzqL1ll",TRUE,100,"Passage","Q192","Ground water"
"234","R_3oGR6vRxzRI4q1z",TRUE,100,"Normal","Q192","Ground water"
"235","R_5t2Y88FOd0eW34d",TRUE,100,"Passage","Q192","Ground water"
"236","R_2qqLbQxAusFgIdr",TRUE,100,"Highlight","Q192","Ground water"
"237","R_xD96ne3Fh1D5nl7",TRUE,100,"Normal","Q192","Ground water"
"238","R_2U9IqPRx3IbePrD",TRUE,100,"Passage","Q192","Ground water"
"239","R_2riHOjMPOaXyOAW",TRUE,100,"Highlight","Q192","Ground water"
"240","R_2WM7DoeucTu7bP6",TRUE,100,"Passage","Q192","Ground water"
"241","R_1kGHlB0AdtiJtOx",TRUE,100,"Highlight","Q192","Ground water"
"242","R_1GZeYmi3tFdAW4Y",TRUE,100,"Normal","Q192","Ground water"
"243","R_R7Snz9ZbzSLBRpT",TRUE,100,"Highlight","Q192","Ground water"
"244","R_2bNNujEw4Apc4k6",TRUE,100,"Normal","Q192","Ground water"
"245","R_269KRiLE2YyU8QH",TRUE,100,"Normal","Q192","Ground water"
"246","R_3n3p3juEvcT3HuL",TRUE,100,"Passage","Q192",NA
"247","R_1JVMqXBXvBEK0OJ",TRUE,100,"Highlight","Q192","Ground water"
"248","R_1EgsFtUHdeDNEGI",TRUE,100,"Passage","Q192","Ground water"
"249","R_Tw3fPT2OmHFtw8F",TRUE,100,"Normal","Q192","Ground water"
"250","R_2Xj4gXVYvhBx2Ry",TRUE,100,"Passage","Q192","Ground water"
"251","R_21alDN6R6IP9TQc",TRUE,100,"Highlight","Q192","Ground water"
"252","R_DMLqLn1dwofZIWt",TRUE,100,"Passage","Q192","Ground water"
"253","R_1jE8vQXJWMIVJ1n",TRUE,100,"Normal","Q192","Ground water"
"254","R_2SCScdo6tikYEht",TRUE,100,"Highlight","Q192","Ground water"
"255","R_3J90hN5j6p3Iu36",TRUE,100,"Highlight","Q192","Ground water"
"256","R_3n79ZmXx3omsjbG",TRUE,100,"Passage","Q192","Ground water"
"257","R_1hySsWin4LKhyto",TRUE,100,"Normal","Q192","Ground water"
"258","R_3PpOR6112VzwRIq",TRUE,100,"Normal","Q192","Ground water"
"259","R_22G6aNPlBr3DScP",TRUE,100,"Highlight","Q192","Ground water"
"260","R_3GeQGGYrnk1hcLv",TRUE,100,"Passage","Q192","Ground water"
"261","R_1K74YN41u7CZ1yW",TRUE,100,"Normal","Q192","Ground water"
"262","R_BtufUSHlR6MrsnT",TRUE,100,"Passage","Q192","Ground water"
"263","R_OiZKq6V5QgQ0FoJ",TRUE,100,"Highlight","Q192","Ground water"
"264","R_2BbrHRGsLFQl4Jl",TRUE,100,"Passage","Q192","Ground water"
"265","R_3qO7sZ1dik1P0Z1",TRUE,100,"Highlight","Q192","Ground water"
"266","R_2uxMU3uPfcyCXLA",TRUE,100,"Normal","Q192","Ground water"
"267","R_0uYH5I8JBiXG5qx",TRUE,100,"Passage","Q192","Ground water"
"268","R_1MNgSodlYxj937k",TRUE,100,"Highlight","Q192","Ground water"
"269","R_1CpRBUT5DOcoZnw",TRUE,100,"Passage","Q192","Ground water"
"270","R_1luVf7AdsaFWERM",TRUE,100,"Normal","Q192","Ground water"
"271","R_2AXQBFwaadD5EnH",TRUE,100,"Highlight","Q192","Ground water"
"272","R_1KvH2ZxFK0hcjEr",TRUE,100,"Passage","Q192","Ground water"
"273","R_SGF18rkSm6hhiQV",TRUE,100,"Highlight","Q192","Ground water"
"274","R_03wSumO4vsJ3T2h",TRUE,100,"Passage","Q192","Ground water"
"275","R_vTtlNv3L910YwO5",TRUE,100,"Highlight","Q192","Ground water"
"276","R_1BP1WIAoaLq3kos",TRUE,100,"Normal","Q192","Ground water"
"277","R_yVF4TcbrjpoUIIF",TRUE,100,"Highlight","Q192","Ground water"
"278","R_324pVwNwq12yzyj",TRUE,100,"Normal","Q192","Ground water"
"279","R_ZsnZqTp0TXukQsF",TRUE,100,"Passage","Q192","Ground water"
"280","R_21A1WX1EDVIEYlt",TRUE,100,"Highlight","Q192","Ground water"
"281","R_1i2987A6fE019j7",TRUE,100,"Normal","Q192","Ground water"
"282","R_1nOZHJdIX2lyUly",TRUE,100,"Passage","Q192","Ground water"
"283","R_10Ocg6ZgfpYINpT",TRUE,100,"Passage","Q192","Ground water"
"284","R_1pyRy3HJzlyfwYs",TRUE,100,"Normal","Q192","Ground water"
"285","R_12R1ONE0Wl3GaVX",TRUE,100,"Highlight","Q192","Ground water"
"286","R_3pm7MSKiYK8RTUP",TRUE,100,"Normal","Q192","Ground water"
"287","R_1rIDttzW7rBQAKJ",TRUE,100,"Passage","Q192","Ground water"
"288","R_NUXGJ63KCkU12Zr",TRUE,100,"Highlight","Q192","Ground water"
"289","R_1prGGS39LJdZAX2",TRUE,100,"Normal","Q192","Ground water"
"290","R_1l4UY6s2cgki7NK",TRUE,100,"Passage","Q192","Ground water"
"291","R_7NFZbxzgkIAWmBz",TRUE,100,"Highlight","Q192","Ground water"
"292","R_3CCrKB2XByIYRXM",TRUE,100,"Highlight","Q192","Ground water"
"293","R_1IYOe6xhINVksvX",TRUE,100,"Normal","Q192","Ground water"
"294","R_3P65TuVTnnRCNfQ",TRUE,100,"Passage","Q192","Ground water"
"295","R_3NVsdNccUNXVXHB",TRUE,100,"Passage","Q192","Ground water"
"296","R_rooWU8yY4DaNJPr",TRUE,100,"Normal","Q192","Ground water"
"297","R_3G6Pnu6RqVlvaD6",TRUE,100,"Highlight","Q192","Ground water"
"298","R_3IRhfqg3P3UFks3",TRUE,100,"Highlight","Q192","Ground water"
"299","R_88s3EgycHGeZ3EJ",TRUE,100,"Passage","Q192","Ground water"
"300","R_3P6PICWUaWWUcTt",TRUE,100,"Normal","Q192","Ground water"
"301","R_1jjguBUhZfaidgm",TRUE,100,"Normal","Q192","Ground water"
"302","R_31ZqOQo2hz2l0Ju",TRUE,100,"Passage","Q192","Ground water"
"303","R_3Eu43fJ6qryB1nG",TRUE,100,"Highlight","Q192","Ground water"
"304","R_broKvk5h1rlw0Qp",TRUE,100,"Highlight","Q192","Ground water"
"305","R_2fEgz5oiCUzvDHG",TRUE,100,"Normal","Q192","Ground water"
"306","R_79BGx45Wf3aM53j",TRUE,100,"Passage","Q192","Ground water"
"307","R_3kjL0uVaaUbpTpq",TRUE,100,"Normal","Q192","Ground water"
"308","R_2dQ5dZIpnpTaCYJ",TRUE,100,"Passage","Q192","Ground water"
"309","R_8D2GwPYj8LYMTUl",TRUE,100,"Passage","Q192","Ground water"
"310","R_2ZOhi7geypF1TQx",TRUE,100,"Normal","Q192","Ground water"
"311","R_3LYFB9dz3VCKxaX",TRUE,100,"Highlight","Q192","Ground water"
"312","R_V3BfkJzOfGwbA2J",TRUE,100,"Passage","Q192","Ground water"
"313","R_2urIj9MfrpOuXKl",TRUE,100,"Normal","Q192","Ground water"
"314","R_11bEhdxDKuDg7Dq",TRUE,100,"Passage","Q192","Ground water"
"315","R_32Mkhzh8CEvhBgW",TRUE,100,"Normal","Q192","Ground water"
"316","R_2ZHNFaDACTZA9EM",TRUE,100,"Highlight","Q192","Ground water"
"317","R_1CgcGKdhazJNX3o",TRUE,100,"Passage","Q192","Ground water"
"318","R_3L6Ks92yZXW6Pe5",TRUE,100,"Normal","Q192","Ground water"
"319","R_1LikhhO0kzct25X",TRUE,100,"Highlight","Q192","Ground water"
"320","R_1g79cyX9IsucinY",TRUE,100,"Normal","Q192","Ground water"
"321","R_2SAM4FuAvefw9cd",TRUE,100,"Highlight","Q192","Ground water"
"322","R_27xMPh2AVjwhEDj",TRUE,100,"Passage","Q192","Ground water"
"323","R_1KxnAwsaaVCyqtS",TRUE,100,"Passage","Q192","Ground water"
"324","R_2vhLZCIgEioZJCR",TRUE,100,"Highlight","Q192","Ground water"
"325","R_pGWnYCWSkVNHI8F",TRUE,100,"Normal","Q192","Ground water"
"326","R_ysin8WXoCm5zwNb",TRUE,100,"Passage","Q192","Ground water"
"327","R_1mXIb9YtbJAcjK1",TRUE,100,"Normal","Q192","Ground water"
"328","R_22LDGdQQMlI4Syv",TRUE,100,"Highlight","Q192","Ground water"
