"","ResponseId","Finished","Progress","FL_149_DO","question","response","acc"
"1","R_1mecK6Gu10UXW3V",TRUE,100,"Normal","Q434","??",0
"2","R_3pamGouhRq23Zsc",TRUE,100,"Normal","Q434","rock",0
"3","R_3NErnuIa0E5UbXg",TRUE,100,"Passage","Q434","porous",0
"4","R_2YSdTL637RX3MDf",TRUE,100,"Highlight","Q434","aquifer",1
"5","R_1F8wtbHI0O6D8ok",TRUE,100,"Passage","Q434","aquifier",1
"6","R_3DpZ0GgrsxZMvgi",TRUE,100,"Normal","Q434",NA,0
"7","R_233RzrQC8sg6yve",TRUE,100,"Normal","Q434","auquifiers",1
"8","R_doEkERgZ6cCH5Ad",TRUE,100,"Highlight","Q434","soil",0
"9","R_xFvPUwyjNzZ3ggF",TRUE,100,"Passage","Q434","aquifier",1
"10","R_1lc6oH7yzAqbhJ9",TRUE,100,"Passage","Q434","aquifiers",1
"11","R_2mJfzTZuUmS9xzb",TRUE,100,"Highlight","Q434",NA,0
"12","R_xn57HY4dsCMxgid",TRUE,100,"Passage","Q434",NA,0
"13","R_3GiBeaOotyeov3r",TRUE,100,"Highlight","Q434","water table",0
"14","R_1dn4mqRNe9trI5K",TRUE,100,"Passage","Q434","aquifer",1
"15","R_11WJEtMf22Y8haC",TRUE,100,"Highlight","Q434",NA,0
"16","R_2R9OLmjETrQ6XmQ",TRUE,100,"Normal","Q434",NA,0
"17","R_3QQ2ua6uCSnlVl7",TRUE,100,"Normal","Q434",NA,0
"18","R_TnjRLjQ0vgL3kmB",TRUE,100,"Passage","Q434","aquifer",1
"19","R_3en4ixgNbCfQrte",TRUE,100,"Highlight","Q434",NA,0
"20","R_CmJa4iIJgRRgy4N",TRUE,100,"Highlight","Q434","aquifier",1
"21","R_2OJb0LolQH0PS8x",TRUE,100,"Normal","Q434","porocity",0
"22","R_YRBNgAMdzqmBCPT",TRUE,100,"Passage","Q434","aquifer",1
"23","R_41kMqSBlU9XieaZ",TRUE,100,"Normal","Q434",NA,0
"24","R_1Fu1zlZqrDUL7zZ",TRUE,100,"Passage","Q434","aqualifier",1
"25","R_3gN796VA5KwTzNd",TRUE,100,"Highlight","Q434",NA,0
"26","R_2roJn4CF0u4s1vK",TRUE,100,"Normal","Q434","gravel",0
"27","R_9tBeIH2PJzu5TTr",TRUE,100,"Highlight","Q434","arquifer",1
"28","R_2akKqeZUSipYSdn",TRUE,100,"Passage","Q434","Top layer",0
"29","R_3mjWhxTbnhTtQCv",TRUE,100,"Highlight","Q434","aquifier",1
"30","R_2CsqZ9Wlgc5JpHu",TRUE,100,"Highlight","Q434","Aquifer",1
"31","R_3rVEh3RtNwg7U0G",TRUE,100,"Passage","Q434","aquifer",1
"32","R_2uCb6symjEueHr2",TRUE,100,"Highlight","Q434","aquifer",1
"33","R_DeDT0ZgscWP1QYx",TRUE,100,"Passage","Q434","aquifer",1
"34","R_xA7Mb8N2SKxYs49",TRUE,100,"Normal","Q434","aqualiers",1
"35","R_1LpWeKjg7sikctE",TRUE,100,"Highlight","Q434","table water",0
"36","R_AsO3By8nhDBVuuZ",TRUE,100,"Passage","Q434",NA,0
"37","R_2P5SXuSsFL6EyEZ",TRUE,100,"Normal","Q434","permeable",0
"38","R_QazEg8YJXgs3bKF",TRUE,100,"Normal","Q434","aquifer",1
"39","R_3hrTFNEw2kLhk1f",TRUE,100,"Passage","Q434","aquifer",1
"40","R_2dGF17dtOPnSvsn",TRUE,100,"Highlight","Q434","water table",0
"41","R_CdmT2VJ8L3Zjpe1",TRUE,100,"Passage","Q434","aquifer",1
"42","R_1lgAGK4E7jw50dQ",TRUE,100,"Highlight","Q434","sediment",0
"43","R_ZgT9FoBvnPGqlm9",TRUE,100,"Highlight","Q434","aquifer",1
"44","R_DqnUrBZS6bqLpzX",TRUE,100,"Normal","Q434","aquifer",1
"45","R_2b3N9HpOdXzQ6Qv",TRUE,100,"Passage","Q434","soil",0
"46","R_2673yFCZWP3JTO1",TRUE,100,"Highlight","Q434","aquifer",1
"47","R_3qapEeo3uSpIA2u",TRUE,100,"Normal","Q434","aquifer",1
"48","R_2bZ45SMI4WK9Ee5",TRUE,100,"Passage","Q434","permeability",0
"49","R_1CKMtwj1iKr6bR9",TRUE,100,"Normal","Q434","Aquifer",1
"50","R_vdxNIxt8egXKBRT",TRUE,100,"Highlight","Q434","aquifers",1
"51","R_d5z0BlqKSlhDu93",TRUE,100,"Passage","Q434","aquifer",1
"52","R_3pbd7EisxVu0Dul",TRUE,100,"Passage","Q434","permeable",0
"53","R_2rwoMeBXKyBV1s2",TRUE,100,"Highlight","Q434","aquifier",1
"54","R_3lMSAfdPPu8obJm",TRUE,100,"Normal","Q434","permiable",0
"55","R_21bPuKcPablxGs0",TRUE,100,"Passage","Q434","aquifer",1
"56","R_1CHC0jnQZdA4f5d",TRUE,100,"Normal","Q434","aquifier",1
"57","R_1RABJB0TXYQh9br",TRUE,100,"Highlight","Q434","aquifer",1
"58","R_3n0dsZcWAY3NYHN",TRUE,100,"Passage","Q434","aquifer",1
"59","R_31XWOeCdB7paziT",TRUE,100,"Normal","Q434","Aquifer",1
"60","R_1H74umFtuE4SxFb",TRUE,100,"Passage","Q434","soil water",0
"61","R_1DAXMwE9eKdz1h4",TRUE,100,"Normal","Q434",NA,0
"62","R_OIq93cMlJAGaJ4B",TRUE,100,"Highlight","Q434","aquifer",1
"63","R_21iZ5WhX4G4e4XE",TRUE,100,"Highlight","Q434","aquifers",1
"64","R_Reom65nGgbP4W3f",TRUE,100,"Normal","Q434",NA,0
"65","R_2qlO1qKcOZrhKXs",TRUE,100,"Highlight","Q434",NA,0
"66","R_3fDd6V86GO61pjk",TRUE,100,"Normal","Q434",NA,0
"67","R_33EjDTDBUeKfPTX",TRUE,100,"Passage","Q434","limestone",0
"68","R_3eaYXwJcd97nmEB",TRUE,100,"Highlight","Q434","porous",0
"69","R_28SvgojaYsPqKcP",TRUE,100,"Normal","Q434","aquifer",1
"70","R_u3Mzx9DoKnHKdSV",TRUE,100,"Passage","Q434","permeability",0
"71","R_UXU548n56wzFbGx",TRUE,100,"Normal","Q434","easy",0
