,ResponseId,Finished,Progress,FL_149_DO,question,response,acc
1064,R_1LSfIFI7U1VaLnj,TRUE,100,Highlight,Q434,?,0
567,R_1mecK6Gu10UXW3V,TRUE,100,Normal,Q434,??,0
878,R_V3BfkJzOfGwbA2J,TRUE,100,Passage,Q434,agua,0
729,R_1r3vM5vAo0gYLSt,TRUE,100,Normal,Q434,aprocrite,0
1007,R_1rubkFuV4ZIYqJ4,TRUE,100,Normal,Q434,aquaduct,0
1068,R_3iyZkKCKYZBdtu9,TRUE,100,Normal,Q434,aquaduct,0
856,R_1l4UY6s2cgki7NK,TRUE,100,Passage,Q434,aquaducts,0
752,R_3L4zC2hQ3L3S4ZH,TRUE,100,Highlight,Q434,bedrock,0
835,R_1CpRBUT5DOcoZnw,TRUE,100,Passage,Q434,bedrock,0
959,R_3n1oHjIlEujujNp,TRUE,100,Passage,Q434,bedrock,0
1124,R_3JIaTRyDOuvfnVf,TRUE,100,Passage,Q434,bread,0
1011,R_2fqX4YQUV3KRUe5,TRUE,100,Passage,Q434,clay,0
911,R_2ElRv8lWPp8ZwBh,TRUE,100,Highlight,Q434,Dont know,0
1080,R_1mJFNQduzE3p3eD,TRUE,100,Highlight,Q434,dont remember,0
637,R_UXU548n56wzFbGx,TRUE,100,Normal,Q434,easy,0
664,R_1hFEOk9ZcNHSFch,TRUE,100,Highlight,Q434,Erosion,0
822,R_3n79ZmXx3omsjbG,TRUE,100,Passage,Q434,Filaments,0
686,R_2dgY6iJ4nP17zta,TRUE,100,Normal,Q434,fossil,0
1117,R_3JKwkM2K4tt3R84,TRUE,100,Passage,Q434,fossil fuels,0
908,R_3PFvGNmuimyXpqM,TRUE,100,Normal,Q434,fractures,0
1023,R_26c2KFqCcaZZAXb,TRUE,100,Normal,Q434,good,0
592,R_2roJn4CF0u4s1vK,TRUE,100,Normal,Q434,gravel,0
886,R_1g79cyX9IsucinY,TRUE,100,Normal,Q434,gravel,0
924,R_W21US4FUsuZLgY1,TRUE,100,Passage,Q434,gravel,0
1075,R_2BbxgnkzpYNmwyx,TRUE,100,Highlight,Q434,gravel,0
754,R_1j7VURvpkEPdYvO,TRUE,100,Passage,Q434,ground,0
946,R_1gSVEZ4c3vxbhoQ,TRUE,100,Passage,Q434,ground,0
1070,R_2DYW9KGAbnKfawj,TRUE,100,Highlight,Q434,ground,0
666,R_1ginRNwckOH57cJ,TRUE,100,Highlight,Q434,ground table,0
685,R_e4CKyVByiMCPgIN,TRUE,100,Passage,Q434,ground water,0
797,R_1eEInFq6vlvG9t7,TRUE,100,Highlight,Q434,ground water,0
1054,R_2COKhbzCiUVPut3,TRUE,100,Highlight,Q434,ground water,0
1079,R_1DO8x61lgTtsRlI,TRUE,100,Normal,Q434,ground water,0
1105,R_2ScLVlPN14CttTE,TRUE,100,Passage,Q434,ground water,0
