"","ResponseId","Passage","jols"
"1","R_01xBIjc5ddf5oWd","Unmodified",86
"2","R_03wSumO4vsJ3T2h","Sans Forgetica",72
"3","R_07nlzQQalec72dH","Unmodified",65
"4","R_0cDAFoyUZ8xU5Il","Sans Forgetica",50
"5","R_0CYZUnbmWShcF1f","Sans Forgetica",40
"6","R_0f9JmwhjokQnyOR","Pre-highlighted",22
"7","R_0JsqxTVtXov2UCJ","Unmodified",70
"8","R_0T9G9M78fmSfz3P","Pre-highlighted",20
"9","R_0uYH5I8JBiXG5qx","Sans Forgetica",44
"10","R_10Ocg6ZgfpYINpT","Sans Forgetica",70
"11","R_10rrGtJk7wMUnPS","Sans Forgetica",85
"12","R_11bEhdxDKuDg7Dq","Sans Forgetica",90
"13","R_11jvwhZ9aDbXzZi","Sans Forgetica",25
"14","R_11WVD1MhAN1xmAK","Pre-highlighted",70
"15","R_12R1ONE0Wl3GaVX","Pre-highlighted",79
"16","R_12sSaRQZ46uJjoo","Pre-highlighted",85
"17","R_1BP1WIAoaLq3kos","Unmodified",61
"18","R_1CCI46B4eL1WsXp","Sans Forgetica",40
"19","R_1CgcGKdhazJNX3o","Sans Forgetica",62
"20","R_1CHC0jnQZdA4f5d","Unmodified",70
"21","R_1CHIsB7eGd963KS","Pre-highlighted",80
"22","R_1CKMtwj1iKr6bR9","Unmodified",89
"23","R_1CpRBUT5DOcoZnw","Sans Forgetica",45
"24","R_1DAXMwE9eKdz1h4","Unmodified",80
"25","R_1dbEZIk4gYpi1j4","Sans Forgetica",72
"26","R_1dEluYygKoIxeSC","Pre-highlighted",95
"27","R_1DFKxeha9FJRt1b","Pre-highlighted",81
"28","R_1dfRmGUzKJMyICn","Sans Forgetica",50
"29","R_1DGMTkCZNuIsCX9","Unmodified",75
"30","R_1diRszsXAAai2MA","Sans Forgetica",40
"31","R_1dKdYH54DUtlUP0","Unmodified",48
"32","R_1DNhLPzgUtLBsSv","Sans Forgetica",0
"33","R_1DO8x61lgTtsRlI","Unmodified",90
"34","R_1Dr8qKhjiQ2d02b","Pre-highlighted",40
"35","R_1dyTtbBRvdVFG2D","Unmodified",91
"36","R_1eEInFq6vlvG9t7","Pre-highlighted",50
"37","R_1eFymJIt9KAc0pM","Pre-highlighted",70
"38","R_1EgsFtUHdeDNEGI","Sans Forgetica",70
"39","R_1eKtydWwq6C8SDO","Sans Forgetica",50
"40","R_1eP0NiIrTrMHuf4","Unmodified",61
"41","R_1EWLawqvCl9mWqC","Unmodified",65
"42","R_1EXpqyU0fzn9bha","Sans Forgetica",85
"43","R_1Fh71HG3FWmFmh4","Sans Forgetica",0
"44","R_1fk3n9y6BWQB0sJ","Unmodified",71
"45","R_1FsqKed6i3exEn9","Unmodified",0
"46","R_1Fu1zlZqrDUL7zZ","Sans Forgetica",0
"47","R_1g6MBdFpmCS7aZ6","Sans Forgetica",47
"48","R_1g79cyX9IsucinY","Unmodified",61
"49","R_1gbAmdKjg6darTR","Sans Forgetica",0
"50","R_1GEAknNmqaRIROM","Sans Forgetica",76
"51","R_1gejSCG9U3t3Kl0","Unmodified",74
"52","R_1ginRNwckOH57cJ","Pre-highlighted",30
"53","R_1GNfs1zYml1pNC2","Unmodified",80
"54","R_1go1F6VWH3qh3SD","Sans Forgetica",70
"55","R_1gSVEZ4c3vxbhoQ","Sans Forgetica",39
"56","R_1GVUxSNIpLnPtE8","Unmodified",66
"57","R_1GZeYmi3tFdAW4Y","Unmodified",95
"58","R_1H74umFtuE4SxFb","Sans Forgetica",0
"59","R_1hFEOk9ZcNHSFch","Pre-highlighted",0
