"","ResponseId","Passage","jols"
"60","R_1HizLeIKAKI9mPQ","Pre-highlighted",0
"61","R_1hySsWin4LKhyto","Unmodified",40
"62","R_1i2987A6fE019j7","Unmodified",71
"63","R_1i3WJk78VnGNbUM","Pre-highlighted",65
"64","R_1IFPjQHG46Npu3h","Sans Forgetica",80
"65","R_1IGE56Stu4lujeP","Unmodified",0
"66","R_1ILyOicjr43hZDi","Sans Forgetica",70
"67","R_1IN9fcIToghSChF","Pre-highlighted",70
"68","R_1InMZbP3temrZnF","Unmodified",40
"69","R_1IQovaQ1aUSK6ys","Sans Forgetica",0
"70","R_1IsgJW8oeWr2zrw","Unmodified",0
"71","R_1IuBoDixyLANOaD","Pre-highlighted",72
"72","R_1IYOe6xhINVksvX","Unmodified",0
"73","R_1IYR3IPUnfyVRKQ","Sans Forgetica",75
"74","R_1j7VURvpkEPdYvO","Sans Forgetica",20
"75","R_1JD5lRg4xo4jx8l","Sans Forgetica",0
"76","R_1jE8vQXJWMIVJ1n","Unmodified",50
"77","R_1jHcMWxAl0OGOTK","Sans Forgetica",80
"78","R_1jiyjKAEs2mZr76","Unmodified",70
"79","R_1jjguBUhZfaidgm","Unmodified",65
"80","R_1JKoZGleqT0wUbK","Unmodified",50
"81","R_1jpp5j8OJW8ZWPL","Pre-highlighted",70
"82","R_1JVMqXBXvBEK0OJ","Pre-highlighted",58
"83","R_1K74YN41u7CZ1yW","Unmodified",0
"84","R_1KcZ8y3bqddn789","Unmodified",70
"85","R_1Kf2sLOQgDQi0Np","Sans Forgetica",75
"86","R_1kGHlB0AdtiJtOx","Pre-highlighted",60
"87","R_1KvH2ZxFK0hcjEr","Sans Forgetica",35
"88","R_1KxnAwsaaVCyqtS","Sans Forgetica",88
"89","R_1l4UY6s2cgki7NK","Sans Forgetica",0
"90","R_1l9Ig5WIrOTGEOp","Sans Forgetica",75
"91","R_1lgAGK4E7jw50dQ","Pre-highlighted",0
"92","R_1LikhhO0kzct25X","Pre-highlighted",60
"93","R_1lip6vYq32kFctd","Unmodified",42
"94","R_1Ln9xIWNIT7LeL1","Pre-highlighted",0
"95","R_1LpWeKjg7sikctE","Pre-highlighted",75
"96","R_1LSfIFI7U1VaLnj","Pre-highlighted",63
"97","R_1luVf7AdsaFWERM","Unmodified",60
"98","R_1mEkF3wJavgplAt","Pre-highlighted",56
"99","R_1mIOo5LypVujsBz","Sans Forgetica",30
"100","R_1mJFNQduzE3p3eD","Pre-highlighted",60
"101","R_1MJOOx3DMn5aqXi","Pre-highlighted",18
"102","R_1MNgSodlYxj937k","Pre-highlighted",30
"103","R_1mQlG3TnjNCktl2","Unmodified",48
"104","R_1mXIb9YtbJAcjK1","Unmodified",80
"105","R_1N9AdypIoF2tR4K","Pre-highlighted",70
"106","R_1nOOiUkvMFMC8Tt","Sans Forgetica",74
"107","R_1nOZHJdIX2lyUly","Sans Forgetica",38
"108","R_1NyICa1GJ2cDHEd","Unmodified",90
"109","R_1oB8wFRHgAaZwfn","Unmodified",69
"110","R_1OId3jAYBgYZSWC","Pre-highlighted",50
"111","R_1OO9rxbDVQRLIc3","Pre-highlighted",63
"112","R_1pn9LutBM2Spx8s","Unmodified",88
"113","R_1prGGS39LJdZAX2","Unmodified",75
"114","R_1pyRy3HJzlyfwYs","Unmodified",63
"115","R_1Q4aXpnh3OjCoHH","Pre-highlighted",50
"116","R_1QmwItbplK6bOye","Pre-highlighted",30
"117","R_1qX6CQzdn12hyS4","Sans Forgetica",75
"118","R_1r19di9SzoCwviq","Pre-highlighted",58
"119","R_1r2EGYAudmwDEC6","Pre-highlighted",54
"120","R_1r3vM5vAo0gYLSt","Unmodified",50
"121","R_1r9qBy0JzWQISyC","Unmodified",54
"122","R_1RABJB0TXYQh9br","Pre-highlighted",71
"123","R_1ri7THxs18OvFxF","Sans Forgetica",60
"124","R_1rIDttzW7rBQAKJ","Sans Forgetica",20
"125","R_1roa4DAPGFPENRQ","Sans Forgetica",93
"126","R_1rubkFuV4ZIYqJ4","Unmodified",74
"127","R_1rw5HfDwAokcmI0","Pre-highlighted",70
"128","R_20Uyi3xT0FwbCZD","Sans Forgetica",60
"129","R_21A1WX1EDVIEYlt","Pre-highlighted",70
"130","R_21alDN6R6IP9TQc","Pre-highlighted",0
"131","R_21baAr0TFrYfg1B","Sans Forgetica",40
"132","R_21bPuKcPablxGs0","Sans Forgetica",42
"133","R_21iZ5WhX4G4e4XE","Pre-highlighted",55
"134","R_22Dhmhy9iPvu5G8","Unmodified",75
"135","R_22G6aNPlBr3DScP","Pre-highlighted",75
"136","R_22LDGdQQMlI4Syv","Pre-highlighted",40
"137","R_24oAJurd1WbTB3y","Sans Forgetica",23
"138","R_24pENftpTZqFdHJ","Unmodified",85
"139","R_25AtJsS9F9gf9Il","Unmodified",65
"140","R_25EDnJRkyOSZDS4","Pre-highlighted",75
"141","R_25F8XDs8qoJqTTd","Sans Forgetica",70
"142","R_25MEkH0e08A7wSe","Unmodified",70
"143","R_25sW4YbTl1EEz6x","Unmodified",60
"144","R_264OUtM5zOyO6rO","Pre-highlighted",65
"145","R_2673yFCZWP3JTO1","Pre-highlighted",25
"146","R_268tHQ9NCQMiNcQ","Sans Forgetica",62
"147","R_269KRiLE2YyU8QH","Unmodified",20
"148","R_26c2KFqCcaZZAXb","Unmodified",70
"149","R_26gWgRsHaP60jZN","Unmodified",66
"150","R_27kDwUZ6CyrrW7l","Unmodified",50
"151","R_27O4vdjnsra1yTJ","Pre-highlighted",20
"152","R_27PQv3aKRwjXDzO","Sans Forgetica",60
"153","R_27r0xXcfFFIOtsm","Unmodified",72
"154","R_27xMPh2AVjwhEDj","Sans Forgetica",50
"155","R_28SvgojaYsPqKcP","Unmodified",90
"156","R_28zD5FD65CUsuRf","Sans Forgetica",61
"157","R_2aDYyfOJm36NxZG","Sans Forgetica",0
"158","R_2aeM7u3WkyzzpAd","Pre-highlighted",50
"159","R_2algaKasB0uFo0I","Unmodified",61
"160","R_2an2fFYVe8dOLTL","Pre-highlighted",40
"161","R_2aOD2vis41J4xgK","Unmodified",50
"162","R_2arkx2dMytmg2Ot","Unmodified",0
"163","R_2AWhPQg345FE3qe","Sans Forgetica",50
"164","R_2AXQBFwaadD5EnH","Pre-highlighted",20
"165","R_2b3N9HpOdXzQ6Qv","Sans Forgetica",80
"166","R_2Ba4l9Fj2H1Afua","Unmodified",57
"167","R_2BbrHRGsLFQl4Jl","Sans Forgetica",100
"168","R_2BbxgnkzpYNmwyx","Pre-highlighted",60
"169","R_2bK9aVYGmvd0dQk","Unmodified",20
"170","R_2bNNujEw4Apc4k6","Unmodified",0
"171","R_2bTsML5wGBi2sj3","Sans Forgetica",30
"172","R_2bV69F3cEPZjGGE","Pre-highlighted",20
"173","R_2bVrZR8XSbbYScM","Unmodified",72
"174","R_2BxiFauwpctBDEM","Sans Forgetica",90
"175","R_2bZ45SMI4WK9Ee5","Sans Forgetica",85
"176","R_2c15gzgD3OLgXyL","Unmodified",50
"177","R_2CfYzYUgZELxGgU","Sans Forgetica",7
"178","R_2chnS2z6oc7mQJf","Pre-highlighted",60
"179","R_2ClUfwGDTLHpUC8","Pre-highlighted",0
"180","R_2COKhbzCiUVPut3","Pre-highlighted",55
"181","R_2D1WzxaIWR7oB26","Sans Forgetica",60
"182","R_2D6zyKhoYS1aova","Pre-highlighted",91
"183","R_2dGF17dtOPnSvsn","Pre-highlighted",65
"184","R_2dgY6iJ4nP17zta","Unmodified",0
"185","R_2dQ5dZIpnpTaCYJ","Sans Forgetica",74
"186","R_2dRBNhV7SZrvtBg","Pre-highlighted",45
"187","R_2DYW9KGAbnKfawj","Pre-highlighted",0
"188","R_2E5y1l5Bo2gRXiJ","Pre-highlighted",20
"189","R_2ElRv8lWPp8ZwBh","Pre-highlighted",40
"190","R_2ElZ0UfTvYRjMUw","Sans Forgetica",53
"191","R_2EmFVpwMpw6lGXf","Pre-highlighted",75
"192","R_2eRKXe0YZdVzznl","Unmodified",0
"193","R_2f7KOIS0RLr8k3z","Unmodified",80
"194","R_2fCZE02oMKu2i7g","Pre-highlighted",60
"195","R_2fDLOjl3zo91U4z","Pre-highlighted",80
"196","R_2fEgz5oiCUzvDHG","Unmodified",75
"197","R_2fIBJeE804RyBbb","Pre-highlighted",80
"198","R_2fJQhcVjckcf24R","Pre-highlighted",25
"199","R_2fqX4YQUV3KRUe5","Sans Forgetica",50
"200","R_2fxIWKc4Xg8ByER","Unmodified",40
"201","R_2OJb0LolQH0PS8x","Unmodified",49
"202","R_2OPAXIvBv2tKmxC","Pre-highlighted",75
"203","R_2OTGrYmR60QQWlO","Pre-highlighted",0
"204","R_2P0Fifv2du0Jmms","Unmodified",35
"205","R_2P5SXuSsFL6EyEZ","Unmodified",75
"206","R_2Pd0UHgwFjq8O0u","Pre-highlighted",60
"207","R_2PecyTBcieBRrU8","Sans Forgetica",85
"208","R_2Ph4LN25XWvNOkL","Sans Forgetica",40
"209","R_2pKNguCsDwZZ4Tc","Pre-highlighted",70
"210","R_2Pna07D0j5sZl6s","Pre-highlighted",40
"211","R_2pSIwq2mqqkwcxt","Pre-highlighted",61
"212","R_2PtlwEbdQGLRRjI","Unmodified",70
"213","R_2Pv3IkJxlWGt7kj","Pre-highlighted",20
"214","R_2pVHGGNZDdALKA4","Sans Forgetica",62
"215","R_2q98bjQZEk7GduY","Unmodified",50
"216","R_2QF0rTKeJJTwqKL","Unmodified",50
"217","R_2qlO1qKcOZrhKXs","Pre-highlighted",0
"218","R_2qlOm7p0DHh662N","Unmodified",80
"219","R_2qmTIHw3YxJVWYF","Unmodified",0
"220","R_2QPYjdl4KDhSsl7","Pre-highlighted",50
"221","R_2qqLbQxAusFgIdr","Pre-highlighted",58
"222","R_2QRoOWWKYOnz1vl","Pre-highlighted",50
"223","R_2QWBCyF8hzyEwwC","Pre-highlighted",50
"224","R_2R4fU4KLkHkKhvq","Sans Forgetica",48
"225","R_2riHOjMPOaXyOAW","Pre-highlighted",40
"226","R_2RODQFHktdd2cTr","Sans Forgetica",0
"227","R_2rwoMeBXKyBV1s2","Pre-highlighted",90
"228","R_2S06Q9RT68fW5M4","Sans Forgetica",85
"229","R_2SAM4FuAvefw9cd","Pre-highlighted",33
"230","R_2ScLVlPN14CttTE","Sans Forgetica",71
"231","R_2SCScdo6tikYEht","Pre-highlighted",42
"232","R_2SHLeqFjCikywOq","Sans Forgetica",35
"233","R_2SpC2tMG4QDA9Oa","Unmodified",65
"234","R_2t5RBNQ4BcRJstp","Pre-highlighted",58
"235","R_2TBJOXgGm6DpCj8","Sans Forgetica",60
"236","R_2thUg531IE5CJZN","Pre-highlighted",41
"237","R_2tm9KgUFLY0Zy9o","Pre-highlighted",40
"238","R_2tmmh1sgHXrtk5y","Sans Forgetica",50
"239","R_2tnBLxk8VHNKnHC","Pre-highlighted",51
"240","R_2tnxOiq6ndG1lNf","Unmodified",58
"241","R_2tyQnBsQuwV6NTj","Sans Forgetica",0
"242","R_2U9IqPRx3IbePrD","Sans Forgetica",80
"243","R_2uCb6symjEueHr2","Pre-highlighted",75
"244","R_2uE9Ep4FGdQL1w9","Unmodified",85
"245","R_2uKiGPSfdm08sD8","Sans Forgetica",80
"246","R_2urIj9MfrpOuXKl","Unmodified",40
"247","R_2uUMf0kvNagfJG4","Pre-highlighted",100
"248","R_2ux31jzzm1o5JOX","Unmodified",42
"249","R_2uxMU3uPfcyCXLA","Unmodified",85
"250","R_2uyuUXhwTSm6Qw3","Sans Forgetica",70
"251","R_2V9exjKEq98RAnH","Pre-highlighted",50
"252","R_2VC51BinpzqL1ll","Sans Forgetica",64
"253","R_2vcu60gKo4KxxhQ","Unmodified",0
"254","R_2VD4JNQpV2f1zOi","Unmodified",79
"255","R_2VDvE0OJ5tFbMLA","Pre-highlighted",0
"256","R_2Vf5MLOEzLPdqq8","Unmodified",55
"257","R_2vhLZCIgEioZJCR","Pre-highlighted",30
"258","R_2viZ72ESPQGCGIX","Pre-highlighted",50
"259","R_2VJf3awmGb4KWm7","Unmodified",70
"260","R_2VpCDeALlM7KvHl","Pre-highlighted",0
"261","R_2WIH9Y5pzVmkJ9u","Pre-highlighted",70
"262","R_2wLgZ0TW9Ai4X12","Sans Forgetica",52
"263","R_2WM7DoeucTu7bP6","Sans Forgetica",40
"264","R_2woAr9fF10l2bs1","Unmodified",50
"265","R_2WzZ0jj5VgaMgM3","Unmodified",63
"266","R_2X657TOyLl3ZsFP","Pre-highlighted",80
"267","R_2Xj4gXVYvhBx2Ry","Sans Forgetica",80
"268","R_2xK1zatEhxKsTkR","Sans Forgetica",0
"269","R_2xKS44cBfiI3JUd","Unmodified",100
"270","R_2xW6IbOvdM39TYm","Unmodified",65
"271","R_2y3pau4Tp3sxeOd","Pre-highlighted",59
"272","R_2yj7K6qAAsItkx8","Sans Forgetica",84
"273","R_2ZByr3zw9nsxXIf","Sans Forgetica",60
"274","R_2zCr63jfha3NIhs","Unmodified",30
"275","R_2ZDknfDYJwftQbu","Pre-highlighted",61
"276","R_2ZHNFaDACTZA9EM","Pre-highlighted",70
"277","R_2ZOhi7geypF1TQx","Unmodified",40
"278","R_30khx9TnpPbOFaL","Pre-highlighted",41
"279","R_30qwqWdGwEEf9LN","Pre-highlighted",15
"280","R_30v0M7G6ciojJNq","Pre-highlighted",65
"281","R_31FdRW4XeDcepbE","Unmodified",40
"282","R_31L4BSIk5iBgAAv","Pre-highlighted",70
"283","R_31mBr4FBb9MAthk","Unmodified",90
"284","R_31uybj6g2z4mFkr","Unmodified",0
"285","R_31XWOeCdB7paziT","Unmodified",80
"286","R_31ZqOQo2hz2l0Ju","Sans Forgetica",25
"287","R_324pVwNwq12yzyj","Unmodified",75
"288","R_32KNCvxUBO46cZJ","Pre-highlighted",40
"289","R_32Mkhzh8CEvhBgW","Unmodified",60
"290","R_333xeYqoXvSSQaJ","Pre-highlighted",62
"291","R_33EB7F6yazYgxof","Pre-highlighted",75
"292","R_33EjDTDBUeKfPTX","Sans Forgetica",60
"293","R_3CCrKB2XByIYRXM","Pre-highlighted",0
"294","R_3CIBP38e3anBW2U","Pre-highlighted",40
"295","R_3D24pRFqRuyXtUZ","Unmodified",15
"296","R_3D2sVmLiwkmeYof","Sans Forgetica",52
"297","R_3DDyWenbWrWLiKJ","Unmodified",70
"298","R_3Dvb5sZhyyplEsa","Unmodified",60
"299","R_3EA6p3CiuWLlUXC","Pre-highlighted",60
"300","R_3eaYXwJcd97nmEB","Pre-highlighted",65
"301","R_3edWI1B29ZvTyz6","Pre-highlighted",31
"302","R_3EiowEcjzs24HDQ","Unmodified",24
"303","R_3EJVciN4LkxUgt2","Unmodified",79
"304","R_3EKozJioeyPWKZt","Pre-highlighted",36
"305","R_3ELkQzmUAFKt2gI","Pre-highlighted",90
"306","R_3ELsbo6gRQx3rq1","Unmodified",65
"307","R_3Em0xF6a8L4HIZM","Sans Forgetica",74
"308","R_3ENgYKSJs22frPh","Unmodified",75
"309","R_3EYxksglbUEP1RI","Sans Forgetica",40
"310","R_3fAVXbJ5euIMCnt","Pre-highlighted",67
"311","R_3fDd6V86GO61pjk","Unmodified",50
"312","R_3ffLI70cpVqWteg","Pre-highlighted",64
"313","R_3FOKTsTiDHSA7v5","Unmodified",74
"314","R_3FQenqEC9d3k9Dy","Unmodified",90
"315","R_3fxG3hjXK4rCsKa","Pre-highlighted",50
"316","R_3G6Pnu6RqVlvaD6","Pre-highlighted",60
"317","R_3GeQGGYrnk1hcLv","Sans Forgetica",84
"318","R_3GkcU79b13fqZww","Pre-highlighted",19
"319","R_3gOereUo0HSzuPC","Sans Forgetica",61
"320","R_3GpSbN41h3hveIt","Unmodified",0
"321","R_3GqSJGN3pHl66Hk","Sans Forgetica",40
"322","R_3gT4zATfISIWH38","Pre-highlighted",85
"323","R_3GuAWlVheOsBbsB","Unmodified",58
"324","R_3gZWlaOLYttQXTT","Sans Forgetica",57
"325","R_3HGPdDT1fRoaCK1","Pre-highlighted",30
"326","R_3HjotYmeBe1aZae","Pre-highlighted",70
"327","R_3HMOtDmMV4LKbKm","Sans Forgetica",50
"328","R_3HRJcA3FxvhYPPG","Sans Forgetica",67
"329","R_3hrTFNEw2kLhk1f","Sans Forgetica",48
"330","R_3HTbL33p7eH1NPC","Sans Forgetica",50
"331","R_3hxQ4rXGtshOKww","Sans Forgetica",50
"332","R_3I49ugvYYsRfXDy","Unmodified",50
"333","R_3I4gHeyOnEZY2dz","Unmodified",0
"334","R_3iP5HkFndgMLJYi","Sans Forgetica",65
"335","R_3IRhfqg3P3UFks3","Pre-highlighted",70
"336","R_3is9dgt0rNsaqzI","Pre-highlighted",95
"337","R_3iyZkKCKYZBdtu9","Unmodified",60
"338","R_3j86z7Yetcwgi7h","Unmodified",20
"339","R_3J90hN5j6p3Iu36","Pre-highlighted",30
"340","R_3JIaTRyDOuvfnVf","Sans Forgetica",0
"341","R_3JKwkM2K4tt3R84","Sans Forgetica",39
"342","R_3JmAolr4b0m5Vo7","Unmodified",46
"343","R_3JmWaTWYnJ3FHQw","Pre-highlighted",75
"344","R_3JqRlz1sWxHfXb5","Unmodified",70
"345","R_3JwkgtPzoDHbS8w","Sans Forgetica",80
"346","R_3k7AHSgl3lde4zA","Pre-highlighted",49
"347","R_3KC3H3VELJPS5G8","Pre-highlighted",37
"348","R_3kjL0uVaaUbpTpq","Unmodified",49
"349","R_3KJY8jS0FCCAzgM","Pre-highlighted",70
"350","R_3KTrhUkZ8eUXECI","Unmodified",90
"351","R_3L4zC2hQ3L3S4ZH","Pre-highlighted",0
"352","R_3L6Ks92yZXW6Pe5","Unmodified",70
"353","R_3LaUBELvoC38Bj2","Unmodified",0
"354","R_3lMjWHDjoldU8Mn","Pre-highlighted",40
"355","R_3lMSAfdPPu8obJm","Unmodified",41
"356","R_3lQ4jHAE14gjyeH","Sans Forgetica",90
"357","R_3lWfXlMLnwfhovJ","Unmodified",30
"358","R_3LYFB9dz3VCKxaX","Pre-highlighted",62
"359","R_3MfjriSwWESG9j2","Unmodified",50
"360","R_3Mi2vpEjZcsDRwl","Pre-highlighted",28
"361","R_3mjWhxTbnhTtQCv","Pre-highlighted",0
"362","R_3MKzKPuY3RkQPgW","Unmodified",63
"363","R_3MzBvC6HtWArs0t","Sans Forgetica",66
"364","R_3n0dsZcWAY3NYHN","Sans Forgetica",90
"365","R_3n1oHjIlEujujNp","Sans Forgetica",56
"366","R_3n79ZmXx3omsjbG","Sans Forgetica",53
"367","R_3nf793iLeprrb9k","Unmodified",65
"368","R_3NKzLp1CWMydQBR","Pre-highlighted",81
"369","R_3NQ93s2Nmbkopvs","Unmodified",85
"370","R_3nrpKF8EX6QfM9q","Sans Forgetica",0
"371","R_3NVsdNccUNXVXHB","Sans Forgetica",60
"372","R_3oGR6vRxzRI4q1z","Unmodified",60
"373","R_3Oixyswoh23ViGJ","Unmodified",61
"374","R_3OoCrNaJSbxykEH","Pre-highlighted",70
"375","R_3oRQMbG7zzVvRYV","Unmodified",85
"376","R_3oTsG4AwxR6DCa4","Unmodified",75
"377","R_3Ou9STafx7HFVG9","Unmodified",75
"378","R_3P65TuVTnnRCNfQ","Sans Forgetica",90
"379","R_3p6nAs2zyw8zag9","Unmodified",45
"380","R_3pbd7EisxVu0Dul","Sans Forgetica",80
"381","R_3pbEEnhuruQxgMv","Sans Forgetica",76
"382","R_3Pcqi1nI7HjXErf","Pre-highlighted",64
"383","R_3PFvGNmuimyXpqM","Unmodified",50
"384","R_3pl3dQon7gRLwtg","Sans Forgetica",60
"385","R_3pm7MSKiYK8RTUP","Unmodified",70
"386","R_3PmB7SIWoUjG69h","Sans Forgetica",0
"387","R_3pmZY7DY10hklHU","Pre-highlighted",60
"388","R_3po0cT865xNF73K","Unmodified",38
"389","R_3PpOR6112VzwRIq","Unmodified",61
"390","R_3prvhBPpCry73Lj","Pre-highlighted",77
"391","R_3PTBBCqVCT2TlcA","Sans Forgetica",89
"392","R_3qapEeo3uSpIA2u","Unmodified",60
"393","R_3qkXD1GTLU7mpdZ","Pre-highlighted",37
"394","R_3qL2WIz0qYNwsBf","Unmodified",75
"395","R_3qO7sZ1dik1P0Z1","Pre-highlighted",27
"396","R_3QRCcUlAW5b7stq","Unmodified",65
"397","R_3r09nufdARaOpLX","Sans Forgetica",0
"398","R_3rTJd2qbrgw2ZbH","Unmodified",75
"399","R_3rTk2tmNMv3x42t","Pre-highlighted",0
"400","R_3rUidhyJVhUT8Qz","Unmodified",75
"401","R_3rVEh3RtNwg7U0G","Sans Forgetica",50
"402","R_3rZJfG638Pzewgs","Unmodified",45
"403","R_3rZY37ePVvyFpBg","Unmodified",35
"404","R_3s5jXDY4OS98rUX","Sans Forgetica",21
"405","R_3sb8nUEiAP5wEWn","Pre-highlighted",70
"406","R_41kMqSBlU9XieaZ","Unmodified",50
"407","R_4YJfwbZ4U9TtFuh","Unmodified",72
"408","R_5zMnqZUzC2hOnIt","Unmodified",26
"409","R_6M4sAIjU2eWWYg1","Pre-highlighted",0
"410","R_6MfaExg1vUNRF0l","Sans Forgetica",51
"411","R_6tj907urFJX2wBH","Pre-highlighted",0
"412","R_74EE5c5w4Vcwx57","Sans Forgetica",31
"413","R_79BGx45Wf3aM53j","Sans Forgetica",40
"414","R_7NFZbxzgkIAWmBz","Pre-highlighted",50
"415","R_7OMHhUjqyHhxL21","Unmodified",80
"416","R_85Josxq3CUyQ3IJ","Sans Forgetica",75
"417","R_88s3EgycHGeZ3EJ","Sans Forgetica",75
"418","R_8D2GwPYj8LYMTUl","Sans Forgetica",61
"419","R_8D4auXgEF7mWJEd","Sans Forgetica",40
"420","R_8xoMdG2WO6ujswF","Sans Forgetica",80
"421","R_9p1a7yYUtPpP0zf","Sans Forgetica",70
"422","R_9sIOvzJu7dL9O7v","Sans Forgetica",85
"423","R_9tBeIH2PJzu5TTr","Pre-highlighted",85
"424","R_a5F23L8k3yn2A81","Pre-highlighted",0
"425","R_a8K7lF3jlKOkWRz","Sans Forgetica",50
"426","R_ac69rGfc2wewOC5","Pre-highlighted",70
"427","R_AMxwBBSBJWa4E37","Unmodified",75
"428","R_AsNLRSrIugSIarL","Pre-highlighted",70
"429","R_AsO3By8nhDBVuuZ","Sans Forgetica",41
"430","R_AtzPlKvbaR32ta1","Sans Forgetica",60
"431","R_aUW1AIiUMdOlV2F","Unmodified",50
"432","R_BFAGRdkgUS8mnVD","Unmodified",39
"433","R_bpzvadupHLgz7gt","Sans Forgetica",20
"434","R_broKvk5h1rlw0Qp","Pre-highlighted",40
"435","R_BsKHnDa6hunEbex","Sans Forgetica",70
"436","R_BtufUSHlR6MrsnT","Sans Forgetica",77
"437","R_bwHmE4Z59DzAqt3","Pre-highlighted",62
"438","R_BxrFDv0SyZM8M8h","Sans Forgetica",50
"439","R_C7ep5PzJdYyq03n","Unmodified",40
"440","R_cBC29h6Gn6UJHYl","Sans Forgetica",50
"441","R_cCnd8OYjatkNOet","Sans Forgetica",85
"442","R_CdKWGfH2C9f0qYx","Unmodified",80
"443","R_CdmT2VJ8L3Zjpe1","Sans Forgetica",0
"444","R_CfS8ubKfSiuJ4Wd","Pre-highlighted",70
"445","R_cYlEURIftoqnKsV","Unmodified",30
"446","R_d5z0BlqKSlhDu93","Sans Forgetica",84
"447","R_D8IDJ5iR94VhWSt","Sans Forgetica",40
"448","R_DC2LGzrNYauKoCt","Sans Forgetica",90
"449","R_DCz9gIO7TvimUUx","Unmodified",70
"450","R_DeDT0ZgscWP1QYx","Sans Forgetica",90
"451","R_DMLqLn1dwofZIWt","Sans Forgetica",0
"452","R_DqI0yH9ZJsFugpP","Sans Forgetica",75
"453","R_DqnUrBZS6bqLpzX","Unmodified",65
"454","R_e4CKyVByiMCPgIN","Sans Forgetica",75
"455","R_egiKvIrcLjXNISl","Pre-highlighted",60
"456","R_eQJOWSkyTM3bLNL","Pre-highlighted",50
"457","R_eX5zGEUl5ObE31D","Unmodified",78
"458","R_NUXGJ63KCkU12Zr","Pre-highlighted",19
"459","R_NVyhz14W7BDvKJH","Pre-highlighted",50
"460","R_O7Poz2bmtY4abex","Sans Forgetica",55
"461","R_OB9rBNFE7LLEI4F","Unmodified",90
