"","id","condition","disfluent","fluent"
"102","M50","Sans Forgetica",0.75,0.916666666666667
"103","M51","Sans Forgetica",0.583333333333333,0.833333333333333
"104","M52","Sans Forgetica",0.166666666666667,0.0833333333333333
"105","M53","Sans Forgetica",0.833333333333333,0.666666666666667
"106","M54","Sans Forgetica",0.333333333333333,0.666666666666667
"107","M55","Sans Forgetica",0.166666666666667,0
"108","M56","Sans Forgetica",0,0
"109","M57","Sans Forgetica",0.75,0.833333333333333
"110","M58","Sans Forgetica",0.25,0.416666666666667
"111","M59","Sans Forgetica",0.166666666666667,0
"112","M6","Sans Forgetica",0.166666666666667,0.333333333333333
"113","M60","Sans Forgetica",0.75,0.666666666666667
"114","M7","Sans Forgetica",0.75,0.75
"115","M8","Sans Forgetica",0.416666666666667,0.666666666666667
"116","M9","Sans Forgetica",0,0
"117","T10","Generate",0,0.166666666666667
"118","T11","Generate",0.0833333333333333,0.0833333333333333
"119","T12","Generate",0.416666666666667,0.25
"120","T13","Generate",0.583333333333333,0.75
"121","T14","Generate",0.416666666666667,0.166666666666667
"122","T15","Generate",0.583333333333333,0.25
"123","T16","Generate",0.25,0.333333333333333
"124","T17","Generate",0,0
"125","T18","Generate",0.333333333333333,0
"126","T19","Generate",0.0833333333333333,0.166666666666667
"127","T2","Generate",0.75,0.75
"128","T21","Generate",0.583333333333333,0.666666666666667
"129","T22","Generate",0.416666666666667,0.25
"130","T23","Generate",0,0
"131","T24","Generate",0,0.0833333333333333
"132","T25","Generate",0.5,0.5
"133","T26","Generate",0.0833333333333333,0
"134","T27","Generate",0.666666666666667,0.333333333333333
"135","T29","Generate",0.333333333333333,0.583333333333333
"136","T3","Generate",0.666666666666667,0.583333333333333
"137","T30","Generate",0.5,0.5
"138","T31","Generate",0,0
"139","T32","Generate",0,0
"140","T33","Generate",0.5,0.583333333333333
"141","T34","Generate",0.416666666666667,0
"142","T35","Generate",0.333333333333333,0.166666666666667
"143","T36","Generate",0.666666666666667,0.916666666666667
"144","T37","Generate",0.25,0
"145","T39","Generate",0.583333333333333,0.166666666666667
"146","T4","Generate",0.583333333333333,0.583333333333333
"147","T40","Generate",0.333333333333333,0.333333333333333
"148","T41","Generate",0.166666666666667,0.25
"149","T42","Generate",0.833333333333333,0.833333333333333
"150","T43","Generate",0.0833333333333333,0.166666666666667
"151","T44","Generate",0.333333333333333,0.5
"152","T45","Generate",0,0
"153","T46","Generate",0.583333333333333,0.5
"154","T47","Generate",0.166666666666667,0.0833333333333333
"155","T48","Generate",0.166666666666667,0.0833333333333333
"156","T49","Generate",0.583333333333333,0.333333333333333
"157","T50","Generate",0.333333333333333,0.666666666666667
"158","T51","Generate",0,0
"159","T52","Generate",0.25,0.333333333333333
"160","T53","Generate",0.583333333333333,0.666666666666667
"161","T54","Generate",0.666666666666667,0.0833333333333333
"162","T55","Generate",0.583333333333333,0.5
"163","T56","Generate",0.333333333333333,0.166666666666667
"164","T57","Generate",0.0833333333333333,0
"165","T58","Generate",0.666666666666667,0.583333333333333
"166","T59","Generate",0.666666666666667,0.333333333333333
"167","T6","Generate",0.833333333333333,0.583333333333333
"168","T60","Generate",0.75,0.833333333333333
"169","T61","Generate",0.416666666666667,0.333333333333333
"170","T62","Generate",0.5,0.333333333333333
"171","T63","Generate",0.0833333333333333,0.25
"172","T7","Generate",0.416666666666667,0.25
"173","T8","Generate",0.416666666666667,0.25
"174","T9","Generate",0.416666666666667,0.416666666666667
"175","W10","Sans Forgetica",0.0833333333333333,0
"176","W11","Sans Forgetica",0.583333333333333,0.25
"177","W12","Sans Forgetica",0.583333333333333,0.333333333333333
"178","W13","Sans Forgetica",0.833333333333333,0.916666666666667
"179","W14","Sans Forgetica",0.333333333333333,0.5
"180","W15","Sans Forgetica",0.0833333333333333,0.166666666666667
"181","W16","Sans Forgetica",0.5,0.416666666666667
"182","W17","Sans Forgetica",0.333333333333333,0.166666666666667
"183","W18","Sans Forgetica",0.5,0.833333333333333
"184","W19","Sans Forgetica",0.333333333333333,0
"185","W2","Sans Forgetica",0.25,0.25
"186","W20","Sans Forgetica",0.0833333333333333,0.0833333333333333
"187","W21","Sans Forgetica",0.333333333333333,0.5
"188","W22","Sans Forgetica",0.0833333333333333,0
"189","W23","Sans Forgetica",0.25,0
"190","W24","Sans Forgetica",0.333333333333333,0.0833333333333333
"191","W25","Sans Forgetica",0.5,0.166666666666667
"192","W26","Sans Forgetica",0,0
"193","W27","Sans Forgetica",0.25,0.0833333333333333
"194","W28","Sans Forgetica",0.583333333333333,0.25
"195","W29","Sans Forgetica",0.333333333333333,0.25
"196","W3","Sans Forgetica",0.583333333333333,0.416666666666667
"197","W30","Sans Forgetica",0.25,0.25
"198","W31","Sans Forgetica",0.666666666666667,0.583333333333333
"199","W32","Sans Forgetica",0.166666666666667,0.333333333333333
"200","W33","Sans Forgetica",0.5,0.583333333333333
"201","W34","Sans Forgetica",0.75,0.583333333333333
"202","W35","Sans Forgetica",0.333333333333333,0.416666666666667
"203","W36","Sans Forgetica",0.5,0.166666666666667
"204","W37","Sans Forgetica",0.833333333333333,0.583333333333333
"205","W38","Sans Forgetica",0.583333333333333,0.416666666666667
"206","W39","Sans Forgetica",0.5,0.0833333333333333
"207","W4","Sans Forgetica",0.666666666666667,0.416666666666667
"208","W40","Sans Forgetica",0.333333333333333,0.333333333333333
"209","W41","Sans Forgetica",0.0833333333333333,0.166666666666667
"210","W42","Sans Forgetica",0.333333333333333,0.666666666666667
"211","W43","Sans Forgetica",0.25,0.25
"212","W44","Sans Forgetica",0.25,0.0833333333333333
"213","W45","Sans Forgetica",0.916666666666667,0.916666666666667
"214","W46","Sans Forgetica",0.25,0.583333333333333
"215","W47","Sans Forgetica",0.666666666666667,0.5
"216","W48","Sans Forgetica",0.583333333333333,0.5
"217","W49","Sans Forgetica",0.166666666666667,0.166666666666667
"218","W5","Sans Forgetica",0.416666666666667,0.166666666666667
"219","W50","Sans Forgetica",0.666666666666667,0.333333333333333
"220","W51","Sans Forgetica",0,0.333333333333333
"221","W52","Sans Forgetica",0.5,0.583333333333333
"222","W53","Sans Forgetica",0.5,0.583333333333333
"223","W54","Sans Forgetica",0.0833333333333333,0
"224","W55","Sans Forgetica",0.0833333333333333,0.0833333333333333
"225","W56","Sans Forgetica",0.333333333333333,0.0833333333333333
"226","W57","Sans Forgetica",0.583333333333333,0.916666666666667
"227","W58","Sans Forgetica",0.333333333333333,0.0833333333333333
"228","W59","Sans Forgetica",0.5,0.25
"229","W6","Sans Forgetica",0.75,0.666666666666667
"230","W7","Sans Forgetica",0.714285714285714,0.1875
"231","W8","Sans Forgetica",0.75,0.583333333333333
"232","W9","Sans Forgetica",0.583333333333333,0.416666666666667
