"","id","condition","disfluent","fluent"
"1","E10","Generate",0.583333333333333,0.416666666666667
"2","E11","Generate",0.416666666666667,0.166666666666667
"3","E12","Generate",0.416666666666667,0.166666666666667
"4","E13","Generate",0.0833333333333333,0.0833333333333333
"5","E14","Generate",0.833333333333333,0.583333333333333
"6","E15","Generate",0.583333333333333,0.416666666666667
"7","E16","Generate",0,0
"8","E17","Generate",0.5,0
"9","E18","Generate",0.666666666666667,0.666666666666667
"10","E19","Generate",0.25,0.0833333333333333
"11","E2","Generate",0.583333333333333,0.416666666666667
"12","E20","Generate",0.416666666666667,0.166666666666667
"13","E21","Generate",0.333333333333333,0.25
"14","E22","Generate",0.416666666666667,0.416666666666667
"15","E23","Generate",0.166666666666667,0.0833333333333333
"16","E24","Generate",0.416666666666667,0.25
"17","E25","Generate",0.666666666666667,0.0833333333333333
"18","E26","Generate",0.75,0.666666666666667
"19","E27","Generate",0.583333333333333,0.166666666666667
"20","E28","Generate",0.333333333333333,0.166666666666667
"21","E29","Generate",0.583333333333333,0.5
"22","E3","Generate",0,0
"23","E30","Generate",0.5,0.25
"24","E31","Generate",0.333333333333333,0.0833333333333333
"25","E32","Generate",0.75,0.416666666666667
"26","E33","Generate",0.0833333333333333,0
"27","E34","Generate",0.666666666666667,0.166666666666667
"28","E35","Generate",0.166666666666667,0.166666666666667
"29","E36","Generate",0.166666666666667,0
"30","E37","Generate",0.5,0.666666666666667
"31","E38","Generate",0.75,0.5
"32","E39","Generate",0.5,0.333333333333333
"33","E4","Generate",0.75,0.166666666666667
"34","E40","Generate",0.583333333333333,0.416666666666667
"35","E41","Generate",0.25,0
"36","E42","Generate",0.166666666666667,0.0833333333333333
"37","E43","Generate",0.416666666666667,0.166666666666667
"38","E44","Generate",0.583333333333333,0.166666666666667
"39","E45","Generate",0.333333333333333,0.0833333333333333
"40","E46","Generate",0.75,0.916666666666667
"41","E47","Generate",0.25,0.0833333333333333
"42","E48","Generate",0.583333333333333,0.583333333333333
"43","E49","Generate",0.583333333333333,0
"44","E5","Generate",0.333333333333333,0.25
"45","E50","Generate",0.166666666666667,0.0833333333333333
"46","E51","Generate",0.25,0
"47","E52","Generate",0.166666666666667,0
"48","E53","Generate",0.333333333333333,0
"49","E54","Generate",0.5,0
"50","E55","Generate",0.666666666666667,0.583333333333333
"51","E56","Generate",0.416666666666667,0.416666666666667
"52","E57","Generate",0.416666666666667,0.25
"53","E58","Generate",0.25,0
"54","E59","Generate",0.25,0
"55","E6","Generate",0.333333333333333,0.0833333333333333
"56","E7","Generate",0.75,0.25
"57","E8","Generate",0.583333333333333,0.25
"58","E9","Generate",0,0
"59","M10","Sans Forgetica",0.25,0.416666666666667
"60","M11","Sans Forgetica",0,0.166666666666667
"61","M12","Sans Forgetica",0,0
"62","M13","Sans Forgetica",0,0
"63","M14","Sans Forgetica",0.416666666666667,0.166666666666667
"64","M16","Sans Forgetica",0.5,0.75
"65","M17","Sans Forgetica",0,0
"66","M18","Sans Forgetica",0.166666666666667,0.166666666666667
"67","M19","Sans Forgetica",0.25,0.583333333333333
"68","M2","Sans Forgetica",0.0833333333333333,0.166666666666667
"69","M20","Sans Forgetica",0.333333333333333,0.583333333333333
"70","M21","Sans Forgetica",0.333333333333333,0.583333333333333
"71","M22","Sans Forgetica",0.0833333333333333,0.25
"72","M23","Sans Forgetica",0.166666666666667,0.416666666666667
"73","M24","Sans Forgetica",0.0833333333333333,0.166666666666667
"74","M25","Sans Forgetica",0.166666666666667,0.166666666666667
"75","M26","Sans Forgetica",0,0.166666666666667
"76","M27","Sans Forgetica",0.333333333333333,0.416666666666667
"77","M28","Sans Forgetica",0.166666666666667,0.0833333333333333
"78","M29","Sans Forgetica",0.666666666666667,0.583333333333333
"79","M3","Sans Forgetica",0.25,0.5
"80","M30","Sans Forgetica",0.333333333333333,0.166666666666667
"81","M31","Sans Forgetica",0.25,0.0769230769230769
"82","M32","Sans Forgetica",0,0.0833333333333333
"83","M33","Sans Forgetica",0.416666666666667,0.333333333333333
"84","M34","Sans Forgetica",0.166666666666667,0.416666666666667
"85","M35","Sans Forgetica",0.166666666666667,0.25
"86","M36","Sans Forgetica",0.166666666666667,0.153846153846154
"87","M37","Sans Forgetica",0.25,0.0833333333333333
"88","M38","Sans Forgetica",0.0625,0.0714285714285714
"89","M39","Sans Forgetica",0.166666666666667,0.416666666666667
"90","M4","Sans Forgetica",0.666666666666667,0.583333333333333
"91","M40","Sans Forgetica",0.166666666666667,0.5
"92","M41","Sans Forgetica",0.166666666666667,0.166666666666667
"93","M42","Sans Forgetica",0.583333333333333,0.75
"94","M43","Sans Forgetica",0,0.416666666666667
"95","M44","Sans Forgetica",0,0.166666666666667
"96","M45","Sans Forgetica",0.25,0.416666666666667
"97","M46","Sans Forgetica",0.666666666666667,0.666666666666667
"98","M47","Sans Forgetica",0.5,0.75
"99","M48","Sans Forgetica",0.333333333333333,0.416666666666667
"100","M49","Sans Forgetica",0.166666666666667,0.416666666666667
"101","M5","Sans Forgetica",0.666666666666667,0.583333333333333
